Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;28/07/2023;12:30;SLOVAKIA;SLOVAK CUP - 1/256-FINALS;Nenince;Velky Krtis;1;1;2,0;10;10;1,5;1,0;1,0;2,0
2;28/07/2023;13:00;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 1;Innsbrucker AC;Vols;2;2;1,0;2;2;2,0;1,0;1,0;2,0
3;28/07/2023;14:00;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 1;Kematen;Kitzbuhel;4;4;2,5;27;30;1,3667;1,0;0,9;1,9
4;28/07/2023;15:30;SLOVAKIA;NIKE LIGA - ROUND 1;Banska Bystrica;Podbrezova;27;30;1,5667;28;30;1,8333;0,9;0,9333;1,8333
5;28/07/2023;14:30;GERMANY;OBERLIGA HAMBURG - ROUND 1;SC Victoria Hamburg;Suderelbe;27;30;2,1333;28;30;1,6667;0,9;0,9333;1,8333
6;28/07/2023;12:30;WORLD;CLUB FRIENDLY;Chlumec nad Cidlinou (Cze);Zaglebie Sosnowiec 2 (Pol);25;30;1,4;3;3;2,0;0,8333;1,0;1,8333
7;28/07/2023;14:30;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 1;SK St. Johann;SV Worgl;2;2;3,5;24;30;1,4;1,0;0,8;1,8
8;28/07/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Bzenec;Lanzhot;28;30;2,0667;26;30;1,6667;0,9333;0,8667;1,8
9;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Tubize-Braine (Bel);Francs Borains (Bel);4;4;1,75;24;30;1,4;1,0;0,8;1,8
10;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Jersey Bulls (Eng);Stenhousemuir (Sco);5;5;2,6;23;30;1,3333;1,0;0,7667;1,7667
11;28/07/2023;15:45;WORLD;CLUB FRIENDLY;Phoenix (Eng);Dartford (Eng);21;23;1,913;25;30;1,3667;0,913;0,8333;1,7463
12;28/07/2023;15:45;IRELAND;DIVISION 1 - ROUND 24;Athlone;Waterford;25;30;1,6;27;30;1,9;0,8333;0,9;1,7333
13;28/07/2023;16:00;USA;USL LEAGUE TWO - PLAY OFFS - QUARTER-FINALS;Ballard;Ventura;25;26;1,6538;23;30;1,3667;0,9615;0,7667;1,7282
14;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Langenrohr (Aut);Stadlau (Aut);19;21;2,619;24;30;1,5667;0,9048;0,8;1,7048
15;28/07/2023;20:00;USA;MLS NEXT PRO;Atlanta United 2;Columbus Crew 2;25;30;1,3;26;30;1,7;0,8333;0,8667;1,7
16;28/07/2023;15:30;GERMANY;2. BUNDESLIGA - ROUND 1;Hamburger SV;Schalke;28;30;1,9333;23;30;1,5333;0,9333;0,7667;1,7
17;28/07/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 17;Aktobe 2;Taraz;14;15;2,0;23;30;1,2333;0,9333;0,7667;1,7
18;28/07/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 1;Drassburg;Marchfeld;28;30;1,6667;23;30;1,4667;0,9333;0,7667;1,7
19;28/07/2023;18:00;USA;USL LEAGUE TWO - PLAY OFFS - QUARTER-FINALS;The Villages;Little Rock Rangers;24;30;1,3333;27;30;1,7;0,8;0,9;1,7
20;28/07/2023;15:30;WALES;CYMRU SOUTH - ROUND 1;Trefelin;Cambrian & Clydach;26;30;1,7667;25;30;2,0;0,8667;0,8333;1,7
21;28/07/2023;15:45;WALES;CYMRU NORTH - ROUND 1;Ruthin;Mold Alexandra;24;30;1,4667;26;30;1,4667;0,8;0,8667;1,6667
22;28/07/2023;13:00;WORLD;CLUB FRIENDLY;Roskilde KFUM's (Den);Roskilde (Den);26;30;1,3333;24;30;1,2667;0,8667;0,8;1,6667
23;28/07/2023;13:00;FINLAND;KAKKONEN GROUP B;P-Iirot Rauma;Tampere Utd;26;30;1,7667;24;30;1,4333;0,8667;0,8;1,6667
24;28/07/2023;13:30;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Wolfurt;Altach U21;23;30;1,4667;27;30;2,0667;0,7667;0,9;1,6667
25;28/07/2023;14:45;WALES;CYMRU NORTH - ROUND 1;Chirk AAA FC;Buckley;23;30;1,5333;27;30;1,9667;0,7667;0,9;1,6667
26;28/07/2023;14:30;GERMANY;REGIONALLIGA WEST - ROUND 1;Alemannia Aachen;Wuppertal;25;30;1,3667;25;30;1,7667;0,8333;0,8333;1,6666
27;28/07/2023;13:00;WORLD;CLUB FRIENDLY;Dubocica (Srb);Vardar (Mkd);26;29;1,4828;23;30;1,0667;0,8966;0,7667;1,6633
28;28/07/2023;14:00;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Schwaz;RW Rankweil;23;30;1,6;26;30;2,0667;0,7667;0,8667;1,6334
29;28/07/2023;15:00;AUSTRIA;REGIONALLIGA EAST - ROUND 1;Austria Vienna (Am);Wiener Viktoria;26;30;1,6333;23;30;1,5333;0,8667;0,7667;1,6334
30;28/07/2023;23:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 1;Consultants Desamparados;Ad Aserri;26;30;1,5333;23;30;1,3;0,8667;0,7667;1,6334
31;28/07/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 27;River Plate;Racing Club;23;30;1,2333;26;30;1,3333;0,7667;0,8667;1,6334
32;28/07/2023;20:30;USA;USL LEAGUE TWO - PLAY OFFS - QUARTER-FINALS;Lionsbridge;Ocean City;26;30;1,9333;23;30;1,2667;0,8667;0,7667;1,6334
33;28/07/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;Vorwarts Steyr;LASK (Am);23;30;1,3333;26;30;1,8;0,7667;0,8667;1,6334
34;28/07/2023;10:00;WORLD;CLUB FRIENDLY;Cambuur (Ned);Waregem (Bel);25;30;1,4667;24;30;1,7333;0,8333;0,8;1,6333
35;28/07/2023;14:00;FAROE ISLANDS;1. DEILD - ROUND 16;B36 Torshavn 2;Toftir 2;25;30;1,5667;12;15;1,3333;0,8333;0,8;1,6333
36;28/07/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Taborsko;Sparta Prague B;25;30;1,7333;24;30;1,1667;0,8333;0,8;1,6333
37;28/07/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;Bad Gleichenberg;Wallern/St Marienkirchen;24;30;1,8667;25;30;1,7333;0,8;0,8333;1,6333
38;28/07/2023;11:30;WORLD;CLUB FRIENDLY;Groningen (Ned);Graafschap (Ned);25;30;1,5667;24;30;1,5667;0,8333;0,8;1,6333
39;28/07/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 2;Sion;Aarau;24;30;1,5667;25;30;1,5333;0,8;0,8333;1,6333
40;28/07/2023;14:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;Waldalgesheim;Engers;25;30;1,6333;24;30;1,6;0,8333;0,8;1,6333
41;28/07/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Opava;Varnsdorf;21;30;1,0333;28;30;1,7;0,7;0,9333;1,6333
42;28/07/2023;13:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;ASK Klagenfurt;Union Gurten;8;9;2,3333;22;30;1,3;0,8889;0,7333;1,6222
43;28/07/2023;14:00;GERMANY;REGIONALLIGA NORTH - ROUND 1;Lohne;Hannover II;23;30;1,2667;25;30;2,0333;0,7667;0,8333;1,6
44;28/07/2023;12:30;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Humpolec;Zdar na Sazavou;22;30;1,3667;26;30;1,9;0,7333;0,8667;1,6
45;28/07/2023;13:00;WORLD;CLUB FRIENDLY;Retz (Aut);Wienerberger (Aut);25;30;1,7333;23;30;1,6667;0,8333;0,7667;1,6
46;28/07/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Bayern II;Turkgucu Munchen;25;30;1,6667;23;30;1,5667;0,8333;0,7667;1,6
47;28/07/2023;12:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Kolomna;Znamya Noginsk;24;30;1,6;24;30;1,6333;0,8;0,8;1,6
48;28/07/2023;14:00;DENMARK;1ST DIVISION - ROUND 2;Koge;Vendsyssel;25;30;1,6;23;30;1,2333;0,8333;0,7667;1,6
49;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Delmenhorst (Ger);Brinkumer (Ger);23;30;1,7667;25;30;1,6667;0,7667;0,8333;1,6
50;28/07/2023;11:00;KAZAKHSTAN;FIRST DIVISION - ROUND 17;Zhenis;Kairat Almaty 2;24;30;1,4667;24;30;1,7333;0,8;0,8;1,6
51;28/07/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;ASK Voitsberg;SC Weiz;24;30;1,6;24;30;1,6333;0,8;0,8;1,6
52;28/07/2023;12:00;BELARUS;BELARUSIAN CUP - 1/8-FINALS;Din. Minsk;Osipovichi;22;30;1,3333;26;30;1,6667;0,7333;0,8667;1,6
53;28/07/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 1;Favoritner;Mauerwerk;20;23;1,8261;21;30;1,4333;0,8696;0,7;1,5696
54;28/07/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;Vocklamarkt;Weindorf St. Anna;21;30;1,1;26;30;1,8;0,7;0,8667;1,5667
55;28/07/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 4;Spartak Moscow U19;UOR 5-Yegoryevsk U19;23;30;1,5333;24;30;1,7333;0,7667;0,8;1,5667
56;28/07/2023;13:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Slavia HK;Vysoke Myto;24;30;1,9333;23;30;1,6667;0,8;0,7667;1,5667
