Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
57;28/07/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Augsburg II;Wurzburger Kickers;24;30;1,7333;23;30;1,6333;0,8;0,7667;1,5667
58;28/07/2023;13:30;WORLD;CLUB FRIENDLY;Preussen Munster (Ger);Offenbach (Ger);27;30;1,9667;20;30;1,0667;0,9;0,6667;1,5667
59;28/07/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Tammeka;Imavere;20;30;1,1333;9;10;2,5;0,6667;0,9;1,5667
60;28/07/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 3;Cham;Regensburg II;23;30;1,4333;24;30;1,6667;0,7667;0,8;1,5667
61;28/07/2023;15:45;WORLD;CLUB FRIENDLY;Swindon S (Eng);Taunton (Eng);27;30;1,7333;20;30;1,2667;0,9;0,6667;1,5667
62;28/07/2023;21:30;BRAZIL;SERIE B - ROUND 20;Sport Recife;CRB;27;30;1,4667;20;30;1,1667;0,9;0,6667;1,5667
63;28/07/2023;13:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;Kaiserslautern II;Pfeddersheim;24;30;1,6;23;30;1,7333;0,8;0,7667;1,5667
64;28/07/2023;12:45;AUSTRIA;2. LIGA - ROUND 1;Liefering;Dornbirn;24;30;1,6;23;30;1,2333;0,8;0,7667;1,5667
65;28/07/2023;16:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 1;Al-Nassr;Al-Shabab;24;30;1,3;23;30;1,3667;0,8;0,7667;1,5667
66;28/07/2023;14:00;DENMARK;1ST DIVISION - ROUND 2;Hobro;Naestved;23;30;1,1667;24;30;1,5333;0,7667;0,8;1,5667
67;28/07/2023;10:30;WORLD;CLUB FRIENDLY;Breda (Ned);Mamelodi Sundowns (Rsa);25;30;1,7667;22;30;1,2333;0,8333;0,7333;1,5666
68;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Zelzate (Bel);Club Brugge KV U23 (Bel);22;30;1,3333;25;30;1,3667;0,7333;0,8333;1,5666
69;28/07/2023;13:00;WORLD;CLUB FRIENDLY;Bologna (Ita);Monaco (Fra);25;30;1,2667;22;30;1,5;0,8333;0,7333;1,5666
70;28/07/2023;15:30;WORLD;CLUB FRIENDLY;Newton Aycliffe (Eng);Morpeth (Eng);8;9;1,4444;20;30;1,0;0,8889;0,6667;1,5556
71;28/07/2023;12:30;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Slavicin;Zlinsko;23;30;1,5333;23;30;1,4;0,7667;0,7667;1,5334
72;28/07/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;Gleisdorf;Ried (Am);26;30;1,7333;20;30;1,4667;0,8667;0,6667;1,5334
73;28/07/2023;13:00;UKRAINE;PREMIER LEAGUE - ROUND 1;Veres-Rivne;Zhytomyr;20;30;1,3333;26;30;1,3667;0,6667;0,8667;1,5334
74;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Zwolle (Ned);Venezia (Ita);23;30;1,8667;23;30;1,3667;0,7667;0,7667;1,5334
75;28/07/2023;14:30;POLAND;DIVISION 2 - ROUND 2;Chojniczanka;Lech Poznan 2;22;30;1,2333;24;30;1,5667;0,7333;0,8;1,5333
76;28/07/2023;13:00;WORLD;CLUB FRIENDLY;Al Rayyan (Qat);Al Wasl (Uae);21;30;1,2333;25;30;1,4333;0,7;0,8333;1,5333
77;28/07/2023;13:30;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Spvgg Ansbach 09;Furth II;24;30;1,8;22;30;1,3333;0,8;0,7333;1,5333
78;28/07/2023;14:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 1;Bischofswerdaer;Freital;22;30;1,3333;24;30;1,2667;0,7333;0,8;1,5333
79;28/07/2023;10:00;WORLD;CLUB FRIENDLY;Eintracht Frankfurt (Ger);Vitesse (Ned);25;30;1,7333;21;30;1,3333;0,8333;0,7;1,5333
80;28/07/2023;15:45;IRELAND;DIVISION 1 - ROUND 24;Wexford;Treaty United;22;30;1,2667;24;30;1,6333;0,7333;0,8;1,5333
81;28/07/2023;20:30;USA;USL LEAGUE TWO - PLAY OFFS - QUARTER-FINALS;Flint City;Menace;22;30;1,4333;24;30;1,3667;0,7333;0,8;1,5333
82;28/07/2023;14:00;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Wals-Grunau;Kufstein;22;30;1,6333;24;30;1,5;0,7333;0,8;1,5333
83;28/07/2023;20:30;WORLD;CLUB FRIENDLY;Philadelphia Union II (Usa);Wrexham (Wal);24;30;1,6333;22;30;1,4;0,8;0,7333;1,5333
84;28/07/2023;12:30;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Batov;Hodonin;21;30;1,5667;25;30;1,4667;0,7;0,8333;1,5333
85;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Dordrecht (Ned);Alanyaspor (Tur);22;30;1,4667;24;30;1,5667;0,7333;0,8;1,5333
86;28/07/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 4;Sochi U19;Chertanovo M. U19;24;30;1,8333;22;30;1,6333;0,8;0,7333;1,5333
87;28/07/2023;15:00;WORLD;CLUB FRIENDLY;Forest Green (Eng);West Brom (Eng);22;30;1,2667;24;30;1,3667;0,7333;0,8;1,5333
88;28/07/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 21;Libertad Gran Mamore;Nacional Potosi;24;30;1,3333;22;30;1,5667;0,8;0,7333;1,5333
89;28/07/2023;15:30;WORLD;CLUB FRIENDLY;Portstewart (Nir);Coleraine (Nir);19;26;1,5769;24;30;1,2667;0,7308;0,8;1,5308
90;28/07/2023;11:00;UKRAINE;PERSHA LIGA - ROUND 1;Karpaty Lviv;Khust;23;30;1,1;17;23;1,5652;0,7667;0,7391;1,5058
91;28/07/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 1;Hertha Berlin II;Chemie Leipzig;23;30;1,4667;22;30;1,3;0,7667;0,7333;1,5
92;28/07/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Santos Laguna W;Guadalajara Chivas W;23;30;1,7333;22;30;1,2333;0,7667;0,7333;1,5
93;28/07/2023;15:45;IRELAND;DIVISION 1 - ROUND 24;Galway;Bray;24;30;1,5;21;30;1,3667;0,8;0,7;1,5
94;28/07/2023;12:45;AUSTRIA;2. LIGA - ROUND 1;Bregenz;First Vienna;24;30;1,5;21;30;1,4333;0,8;0,7;1,5
95;28/07/2023;14:30;SWITZERLAND;CHALLENGE LEAGUE - ROUND 2;Schaffhausen;Thun;23;30;1,9;22;30;1,3;0,7667;0,7333;1,5
96;28/07/2023;20:30;WORLD;CLUB FRIENDLY;Brighton (Eng);Newcastle (Eng);23;30;1,5333;22;30;1,4333;0,7667;0,7333;1,5
97;28/07/2023;16:15;ICELAND;DIVISION 1 - ROUND 14;Afturelding;Akranes;23;30;1,7667;22;30;1,5333;0,7667;0,7333;1,5
98;28/07/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 4;Lokomotiv Moscow U19;Konoplev Academy U19;24;30;1,4;21;30;1,3667;0,8;0,7;1,5
99;28/07/2023;15:30;WORLD;CLUB FRIENDLY;Colchester (Eng);West Ham U21 (Eng);23;30;1,1333;22;30;1,2667;0,7667;0,7333;1,5
100;28/07/2023;13:00;WORLD;CLUB FRIENDLY;Nijmegen (Ned);Al-Taawon (Sau);22;30;1,4333;23;30;1,1333;0,7333;0,7667;1,5
101;28/07/2023;11:00;LITHUANIA;I LYGA - ROUND 16;Zalgiris 2;Ekranas;24;30;1,4333;21;30;1,1667;0,8;0,7;1,5
102;28/07/2023;13:30;WORLD;CLUB FRIENDLY;Fortuna Koln (Ger);FC Koln (Ger);22;30;1,5;23;30;1,6;0,7333;0,7667;1,5
103;28/07/2023;13:30;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Schalding;Schweinfurt;22;30;1,3667;23;30;1,6;0,7333;0,7667;1,5
104;28/07/2023;15:45;IRELAND;DIVISION 1 - ROUND 24;Kerry;Finn Harps;19;25;1,48;22;30;1,5;0,76;0,7333;1,4933
105;28/07/2023;15:30;ROMANIA;LIGA 1 - ROUND 3;FC Rapid Bucuresti;FC Botosani;24;30;1,3667;20;30;1,2333;0,8;0,6667;1,4667
106;28/07/2023;14:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 14;Saffle SK;Forward;21;30;1,2333;23;30;1,4;0,7;0,7667;1,4667
107;28/07/2023;15:30;WALES;CYMRU SOUTH - ROUND 1;Briton Ferry;Llanelli;21;30;1,6333;23;30;1,6667;0,7;0,7667;1,4667
108;28/07/2023;10:00;WORLD;CLUB FRIENDLY;Torino (Ita);Modena (Ita);23;30;0,9667;21;30;1,3;0,7667;0,7;1,4667
109;28/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;Trebisov;Slovan Bratislava B;21;30;1,2667;23;30;1,5667;0,7;0,7667;1,4667
110;28/07/2023;10:45;WORLD;CLUB FRIENDLY;RB Leipzig (Ger);Werder Bremen (Ger);24;30;1,6;20;30;1,3;0,8;0,6667;1,4667
111;28/07/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 4;CSKA Moscow U19;Dynamo Moscow U19;24;30;1,4;20;30;1,1;0,8;0,6667;1,4667
112;28/07/2023;10:00;RUSSIA;YOUTH LEAGUE - ROUND 4;Baltika U19;FK Orenburg U19;2;3;0,6667;24;30;1,6;0,6667;0,8;1,4667
113;28/07/2023;15:30;POLAND;EKSTRAKLASA - ROUND 2;Ruch Chorzow;LKS Lodz;20;30;1,0333;24;30;1,4667;0,6667;0,8;1,4667
114;28/07/2023;13:15;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Aubstadt;Bamberg;23;30;1,3;21;30;1,3333;0,7667;0,7;1,4667
115;28/07/2023;15:30;AUSTRIA;BUNDESLIGA - ROUND 1;LASK;Rapid Vienna;21;30;1,3667;23;30;1,7;0,7;0,7667;1,4667
116;28/07/2023;12:45;AUSTRIA;2. LIGA - ROUND 1;Leoben;Horn;24;30;1,3333;20;30;1,2333;0,8;0,6667;1,4667
117;28/07/2023;15:30;WORLD;CLUB FRIENDLY;Hartlepool (Eng);Harrogate (Eng);24;30;1,2333;20;30;1,3;0,8;0,6667;1,4667
118;28/07/2023;15:45;WORLD;CLUB FRIENDLY;Farnborough (Eng);Dorking (Eng);20;30;1,1;24;30;1,6;0,6667;0,8;1,4667
119;28/07/2023;12:00;WORLD;CLUB FRIENDLY;Werder Bremen (Ger);Ipswich (Eng);20;30;1,3;24;30;1,4667;0,6667;0,8;1,4667
120;28/07/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 25;Bohemians;UC Dublin;18;30;0,9333;26;30;1,4667;0,6;0,8667;1,4667
121;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Heracles (Ned);Excelsior (Ned);25;30;1,9333;19;30;1,2667;0,8333;0,6333;1,4666
122;28/07/2023;14:30;SWITZERLAND;CHALLENGE LEAGUE - ROUND 2;Stade Nyonnais;Xamax;22;30;1,6;22;30;1,5;0,7333;0,7333;1,4666
123;28/07/2023;12:45;AUSTRIA;2. LIGA - ROUND 1;Lafnitz;Kapfenberg;22;30;1,4333;22;30;1,3333;0,7333;0,7333;1,4666
124;28/07/2023;12:45;AUSTRIA;2. LIGA - ROUND 1;Grazer AK;Amstetten;22;30;1,6333;22;30;1,5667;0,7333;0,7333;1,4666
125;28/07/2023;14:00;JORDAN;SUPER CUP - FINAL;Al Wehdat;Al-Faisaly Amman;22;30;1,2667;22;30;1,3333;0,7333;0,7333;1,4666
126;28/07/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 14;Olympic;Pakhtakor;22;30;1,0667;22;30;1,3;0,7333;0,7333;1,4666
127;28/07/2023;13:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Horovice;Hostoun;19;30;1,1667;25;30;1,7333;0,6333;0,8333;1,4666
128;28/07/2023;16:15;PORTUGAL;LEAGUE CUP - FIRST STAGE - FINAL;AVS;Vizela;3;4;1,25;21;30;1,0333;0,75;0,7;1,45
129;28/07/2023;13:30;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 14;BK Astrio;Laholms;24;30;1,6;13;20;1,15;0,8;0,65;1,45
130;28/07/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 1;Obolon;Kolos Kovalivka;20;30;1,0333;23;30;1,1333;0,6667;0,7667;1,4334
131;28/07/2023;14:00;WORLD;CLUB FRIENDLY;Jette (Bel);Boom (Bel);23;30;1,2667;20;30;1,3333;0,7667;0,6667;1,4334
132;28/07/2023;14:00;DENMARK;1ST DIVISION - ROUND 2;Sonderjyske;Fredericia;20;30;1,4333;23;30;1,4667;0,6667;0,7667;1,4334
133;28/07/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Aschaffenburg;Buchbach;23;30;1,4333;20;30;1,3;0,7667;0,6667;1,4334
134;28/07/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 18;Terengganu;Negeri Sembilan;20;30;1,4;23;30;1,5;0,6667;0,7667;1,4334
135;28/07/2023;14:30;GERMANY;OBERLIGA HESSEN - ROUND 1;Eddersheim;Stadtallendorf;23;30;1,1333;20;30;1,2333;0,7667;0,6667;1,4334
136;28/07/2023;10:00;WORLD;CLUB FRIENDLY;Samsunspor (Tur);Bodrumspor (Tur);23;30;1,1;20;30;1,0667;0,7667;0,6667;1,4334
137;28/07/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;Allerheiligen;Deutschlandsberger;22;30;1,2333;21;30;1,5667;0,7333;0,7;1,4333
138;28/07/2023;15:30;WALES;CYMRU SOUTH - ROUND 1;Ammanford;Taffs Well;21;30;1,3333;22;30;1,3333;0,7;0,7333;1,4333
139;28/07/2023;12:45;AUSTRIA;2. LIGA - ROUND 1;Admira;Stripfing;19;30;1,1333;24;30;1,6333;0,6333;0,8;1,4333
140;28/07/2023;22:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 1;Esteli;UNAN-Managua;22;30;1,4333;21;30;1,3333;0,7333;0,7;1,4333
141;28/07/2023;22:00;PANAMA;LPF - CLAUSURA - ROUND 2;San Francisco;Independiente;19;30;0,7333;24;30;1,2667;0,6333;0,8;1,4333
142;28/07/2023;11:00;WORLD;CLUB FRIENDLY;Union Berlin (Ger);Paphos (Cyp);19;30;1,2667;24;30;1,4;0,6333;0,8;1,4333
143;28/07/2023;11:00;WORLD;CLUB FRIENDLY;Den Haag (Ned);Venlo (Ned);25;30;1,4333;18;30;0,9333;0,8333;0,6;1,4333
144;28/07/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Belgrano;Rosario Central;21;30;0,9333;22;30;1,0667;0,7;0,7333;1,4333
145;28/07/2023;15:00;HUNGARY;OTP BANK LIGA - ROUND 1;MTK Budapest;Paks;22;30;1,1667;21;30;1,6667;0,7333;0,7;1,4333
146;28/07/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 1;Ardagger;Traiskirchen;5;6;1,8333;18;30;1,4667;0,8333;0,6;1,4333
147;28/07/2023;14:30;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Sonthofen;Erlbach;24;30;1,6;19;30;1,2;0,8;0,6333;1,4333
148;28/07/2023;15:45;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;Royale Union SG;Anderlecht;24;30;1,3333;19;30;1,1;0,8;0,6333;1,4333
149;28/07/2023;15:30;WORLD;CLUB FRIENDLY;South Shields (Eng);Gateshead (Eng);22;30;1,4;21;30;1,2667;0,7333;0,7;1,4333
150;28/07/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 1;Erfurt;Hansa Rostock II;21;30;1,1;22;30;1,3;0,7;0,7333;1,4333
151;28/07/2023;19:00;BRAZIL;SERIE B - ROUND 20;Ceara;Ituano;25;30;1,5;18;30;1,0667;0,8333;0,6;1,4333
152;28/07/2023;15:00;BRAZIL;COPA PAULISTA - ROUND 5;Sao Caetano;Portuguesa;22;30;1,0333;21;30;1,2;0,7333;0,7;1,4333
153;28/07/2023;13:00;POLAND;DIVISION 2 - ROUND 2;Wisla Pulawy;LKS Lodz II;19;30;1,1667;24;30;1,7;0,6333;0,8;1,4333
154;28/07/2023;12:15;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Dukla Prague;Vyskov;25;30;1,9;18;30;0,9667;0,8333;0,6;1,4333
155;28/07/2023;12:00;WORLD;CLUB FRIENDLY;FC Brasov (Rou);Cetate Rasnov (Rou);25;30;1,7;18;30;0,8;0,8333;0,6;1,4333
156;28/07/2023;20:00;DOMINICAN REPUBLIC;LDF - WINNERS STAGE - ROUND 3;Cibao;Vega Real;22;30;1,3333;21;30;1,2333;0,7333;0,7;1,4333
157;28/07/2023;14:00;RUSSIA;FNL - ROUND 3;Akron Togliatti;Arsenal Tula;24;30;1,5333;19;30;1,0667;0,8;0,6333;1,4333
158;28/07/2023;13:00;WORLD;CLUB FRIENDLY;Tomislav (Bih);Sibenik (Cro);22;30;1,3;21;30;1,0667;0,7333;0,7;1,4333
159;28/07/2023;14:30;WORLD;CLUB FRIENDLY WOMEN;Feyenoord W (Ned);Genk W (Bel);21;30;1,2667;22;30;1,2333;0,7;0,7333;1,4333
160;28/07/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 1;Zamalek;Monastir;24;30;1,6;18;30;0,8333;0,8;0,6;1,4
161;28/07/2023;23:00;USA;NWSL CHALLENGE CUP WOMEN;Reign W;San Diego Wave W;21;30;1,1333;21;30;1,1667;0,7;0,7;1,4
162;28/07/2023;12:00;WORLD;CLUB FRIENDLY;Polkowice (Pol);Stilon Gorzow (Pol);20;30;1,2;22;30;1,3;0,6667;0,7333;1,4
