Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;avgAway;avgSum
1;06/08/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 2;BW Linz;Hartberg;27;30;26;30;0,9;0,8667;1,7667;1,7667;1,5;3,2667
2;06/08/2023;09:00;GERMANY;OBERLIGA HAMBURG - ROUND 2;Niendorfer TSV;Wandsbeker Concordia;26;30;27;30;0,8667;0,9;1,7667;1,6;1,8333;3,4333
3;06/08/2023;10:00;GERMANY;OBERLIGA NIEDERSACHSEN - ROUND 1;VfL Oldenburg;Bornreihe;25;30;22;24;0,8333;0,9167;1,75;1,7667;2,0833;3,85
4;06/08/2023;11:00;AUSTRIA;REGIONALLIGA WEST - ROUND 2;Altach U21;Kufstein;26;30;24;30;0,8667;0,8;1,6667;2,0;1,5;3,5
5;06/08/2023;07:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 2;TuS Makkabi Berlin;Furstenwalde;27;30;23;30;0,9;0,7667;1,6667;1,6667;1,5333;3,2
6;06/08/2023;10:00;GERMANY;REGIONALLIGA NORTH - ROUND 2;VfB Oldenburg;Kilia Kiel;24;30;26;30;0,8;0,8667;1,6667;1,5;1,9667;3,4667
7;06/08/2023;08:30;GERMANY;2. BUNDESLIGA - ROUND 2;Karlsruher SC;Hamburger SV;22;30;28;30;0,7333;0,9333;1,6666;1,7667;2,0;3,7667
8;06/08/2023;10:00;GERMANY;OBERLIGA NIEDERSACHSEN - ROUND 1;Vorsfelde;Rotenburger;23;30;26;30;0,7667;0,8667;1,6334;1,3667;1,4;2,7667
9;06/08/2023;10:00;GERMANY;OBERLIGA HAMBURG - ROUND 2;Tornesch;Dassendorf;26;30;23;30;0,8667;0,7667;1,6334;1,7667;1,6;3,3667
10;06/08/2023;09:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 2;VfR Neumunster;Eichede;26;30;23;30;0,8667;0,7667;1,6334;1,8333;0,9333;2,7666
11;06/08/2023;09:30;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 1;Offenburger FV;Bietigheim-Bissingen;23;30;25;30;0,7667;0,8333;1,6;1,2333;1,8667;3,1
12;06/08/2023;09:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 3;Kaiserslautern II;Morlautern;24;30;23;30;0,8;0,7667;1,5667;1,7;1,5;3,2
13;06/08/2023;12:00;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 2;SV Worgl;Tirol (Am);24;30;23;30;0,8;0,7667;1,5667;1,4333;1,4667;2,9
14;06/08/2023;10:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 4;Turkspor Augsburg;Kottern-St. Mang;25;30;22;30;0,8333;0,7333;1,5666;1,3;1,1667;2,4667
15;06/08/2023;11:00;GERMANY;OBERLIGA HESSEN - ROUND 2;SV Steinbach;Baunatal;25;30;22;30;0,8333;0,7333;1,5666;1,6;1,2667;2,8667
16;06/08/2023;08:00;GERMANY;REGIONALLIGA NORDOST - ROUND 2;Altglienicke;BFC Dynamo;22;30;25;30;0,7333;0,8333;1,5666;1,5;1,6;3,1
17;06/08/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 2;A. Lustenau;Austria Vienna;23;30;23;30;0,7667;0,7667;1,5334;1,6333;1,4;3,0333
18;06/08/2023;14:30;GERMANY;3. LIGA - ROUND 1;Aue;Ingolstadt;24;30;22;30;0,8;0,7333;1,5333;1,4;1,5667;2,9667
19;06/08/2023;09:00;GERMANY;REGIONALLIGA NORTH - ROUND 2;Eimsbutteler;St. Pauli II;25;30;21;30;0,8333;0,7;1,5333;1,5333;1,2333;2,7666
20;06/08/2023;10:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 3;RW Koblenz;Waldalgesheim;22;30;24;30;0,7333;0,8;1,5333;1,3;1,5333;2,8333
21;06/08/2023;09:00;GERMANY;REGIONALLIGA NORTH - ROUND 2;Norderstedt;Spelle-Venhaus;22;30;24;30;0,7333;0,8;1,5333;1,3333;1,5333;2,8666
22;06/08/2023;10:00;GERMANY;OBERLIGA HAMBURG - ROUND 2;Sasel;Harksheide;25;30;21;30;0,8333;0,7;1,5333;1,6333;1,0667;2,7
23;06/08/2023;05:45;GERMANY;OBERLIGA HAMBURG - ROUND 2;Paloma;Altona;24;30;22;30;0,8;0,7333;1,5333;1,8333;1,2333;3,0666
24;06/08/2023;08:30;GERMANY;2. BUNDESLIGA - ROUND 2;Nurnberg;Hannover;21;30;25;30;0,7;0,8333;1,5333;1,0667;1,7;2,7667
25;06/08/2023;09:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 2;Hertha Zehlendorf;Lichtenberg;23;30;22;30;0,7667;0,7333;1,5;1,3333;1,2667;2,6
26;06/08/2023;05:00;CHINA;YI LEAGUE - ROUND 14;Taian Tiankuang;Nantong Haimen;20;30;25;30;0,6667;0,8333;1,5;1,0;1,1333;2,1333
27;06/08/2023;12:00;AUSTRIA;REGIONALLIGA WEST - ROUND 2;Wolfurt;Reichenau;22;30;23;30;0,7333;0,7667;1,5;1,4;1,4667;2,8667
28;06/08/2023;08:30;GERMANY;OBERLIGA NOFV-NORD - ROUND 2;Tasmania Berlin;Wismar;25;30;20;30;0,8333;0,6667;1,5;1,6;1,2667;2,8667
29;06/08/2023;09:00;GERMANY;REGIONALLIGA NORTH - ROUND 2;Teutonia Ottensen;Hamburger SV II;23;30;21;30;0,7667;0,7;1,4667;1,4667;1,2;2,6667
30;06/08/2023;08:00;GERMANY;REGIONALLIGA NORDOST - ROUND 2;Chemie Leipzig;Viktoria Berlin;22;30;22;30;0,7333;0,7333;1,4666;1,3333;1,4;2,7333
31;06/08/2023;11:00;BRAZIL;BRASILEIRO U20 - PLAY OFFS - SEMI-FINALS;Palmeiras U20;Corinthians U20;25;30;19;30;0,8333;0,6333;1,4666;1,9;1,1333;3,0333
32;06/08/2023;08:30;GERMANY;3. LIGA - ROUND 1;Ulm;Saarbrucken;19;30;25;30;0,6333;0,8333;1,4666;1,1667;1,4;2,5667
33;06/08/2023;18:30;BRAZIL;SERIE A - ROUND 18;Coritiba;Bragantino;22;30;22;30;0,7333;0,7333;1,4666;1,2333;1,4;2,6333
34;06/08/2023;10:00;GERMANY;OBERLIGA NIEDERSACHSEN - ROUND 1;Egestorf-Langreder;Bersenbruck;22;30;22;30;0,7333;0,7333;1,4666;1,3333;1,7667;3,1
35;06/08/2023;05:30;AUSTRIA;2. LIGA - ROUND 2;First Vienna;Sturm Graz (Am);22;30;22;30;0,7333;0,7333;1,4666;1,5;2,0333;3,5333
36;06/08/2023;09:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 2;Staaken;Rostocker FC;20;30;23;30;0,6667;0,7667;1,4334;1,4333;1,6333;3,0666
37;06/08/2023;18:30;BRAZIL;SERIE A - ROUND 18;Cruzeiro;Botafogo RJ;21;30;22;30;0,7;0,7333;1,4333;1,0;1,2;2,2
38;06/08/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 2;Salzburg;Tirol;21;30;22;30;0,7;0,7333;1,4333;1,2333;1,5333;2,7666
39;06/08/2023;05:00;CHINA;YI LEAGUE - ROUND 14;Zibo Qisheng;Hubei Istar;19;30;24;30;0,6333;0,8;1,4333;0,8667;1,2333;2,1
40;06/08/2023;09:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 2;Mahlsdorf;CFC Hertha;21;30;21;30;0,7;0,7;1,4;1,4;1,2667;2,6667
41;06/08/2023;20:00;BRAZIL;SERIE A - ROUND 18;Cuiaba;Flamengo RJ;18;30;24;30;0,6;0,8;1,4;1,0333;1,3667;2,4
42;06/08/2023;08:30;GERMANY;REGIONALLIGA NORDOST - ROUND 2;Meuselwitz;Lokomotive Leipzig;23;30;19;30;0,7667;0,6333;1,4;1,5;0,9;2,4
43;06/08/2023;16:00;BRAZIL;SERIE A - ROUND 18;Vasco;Gremio;21;30;21;30;0,7;0,7;1,4;1,3;1,0667;2,3667
44;06/08/2023;10:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 4;Neudrossenfeld;Neumarkt;21;30;21;30;0,7;0,7;1,4;1,2667;1,4;2,6667
45;06/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 17;Qingdao West Coast;Guangxi Pingguo Haliao;21;30;21;30;0,7;0,7;1,4;1,3333;1,2333;2,5666
46;06/08/2023;16:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Tuna Luso;Maranhao;23;30;19;30;0,7667;0,6333;1,4;1,5667;0,9;2,4667
47;06/08/2023;17:00;BRAZIL;CAMPEONATO BAIANO 2 - PLAY OFFS - FINAL;Jequie;Jacobina;20;27;19;30;0,7407;0,6333;1,374;1,2593;1,0;2,2593
48;06/08/2023;08:30;GERMANY;2. BUNDESLIGA - ROUND 2;Magdeburg;Braunschweig;24;30;17;30;0,8;0,5667;1,3667;1,5;1,6333;3,1333
49;06/08/2023;16:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Nautico;CSA;22;30;19;30;0,7333;0,6333;1,3666;1,1667;0,9;2,0667
50;06/08/2023;16:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;AE Altos;Paysandu PA;19;30;22;30;0,6333;0,7333;1,3666;1,1333;1,1333;2,2666
51;06/08/2023;15:00;BRAZIL;CAMPEONATO CATARINENSE 2 - PLAY OFFS - QUARTER-FINALS;Guarani de Palhoca;Metropolitano;20;30;20;30;0,6667;0,6667;1,3334;1,2333;1,1;2,3333
52;06/08/2023;11:30;GERMANY;3. LIGA - ROUND 1;Freiburg II;Duisburg;17;30;23;30;0,5667;0,7667;1,3334;0,8;1,5333;2,3333
53;06/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 17;Sichuan Jiuniu;Guangzhou FC;23;30;17;30;0,7667;0,5667;1,3334;1,2667;1,2333;2,5
54;06/08/2023;15:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Atletico-CE;Aguia De Maraba;20;30;20;30;0,6667;0,6667;1,3334;1,3;1,2;2,5
