Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;avgAway;avgSum
55;06/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 17;Heilongjiang Ice City;Jiangxi Lushan;19;30;21;30;0,6333;0,7;1,3333;1,1667;0,9;2,0667
56;06/08/2023;10:00;BRAZIL;CAMPEONATO MINEIRO 2 - FINAL STAGE - ROUND 9;Uberlandia;Aymores;19;30;21;30;0,6333;0,7;1,3333;0,8667;1,0333;1,9
57;06/08/2023;08:30;GERMANY;OBERLIGA NOFV-NORD - ROUND 2;Neustrelitz;RSV Eintracht;20;30;19;30;0,6667;0,6333;1,3;1,4667;1,5333;3,0
58;06/08/2023;15:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;SER Caxias;Inter de Limeira;22;30;17;30;0,7333;0,5667;1,3;1,2;0,8;2,0
59;06/08/2023;18:30;BRAZIL;SERIE A - ROUND 18;Bahia;America MG;18;30;21;30;0,6;0,7;1,3;0,9667;1,3333;2,3
60;06/08/2023;08:30;CHINA;YI LEAGUE - ROUND 14;Wuhan Jiangcheng;Qingdao Red Lions;19;30;20;30;0,6333;0,6667;1,3;1,1333;1,0667;2,2
61;06/08/2023;11:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Patrocinense;Brasil de Pelotas;20;30;18;30;0,6667;0,6;1,2667;0,9333;0,8;1,7333
62;06/08/2023;18:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Retro;Pacajus;19;30;19;30;0,6333;0,6333;1,2666;0,9333;1,2333;2,1666
63;06/08/2023;19:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Maringa FC;Camboriu;19;30;19;30;0,6333;0,6333;1,2666;0,9667;1,0;1,9667
64;06/08/2023;15:00;BRAZIL;CAMPEONATO GAUCHO 2 - PLAY OFFS - SEMI-FINALS;Lajeadense;Santa Cruz RS;16;26;17;27;0,6154;0,6296;1,245;0,7692;0,8148;1,584
65;06/08/2023;16:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Operario;Sao Bernardo;17;30;20;30;0,5667;0,6667;1,2334;0,7667;0,9333;1,7
66;06/08/2023;18:00;BRAZIL;SERIE B - ROUND 22;Ceara;ABC;24;30;13;30;0,8;0,4333;1,2333;1,4333;0,7;2,1333
67;06/08/2023;16:00;BRAZIL;SERIE A - ROUND 18;Sao Paulo;Atletico-MG;16;30;21;30;0,5333;0,7;1,2333;0,9;1,0;1,9
68;06/08/2023;16:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Nacional de Patos;ASA;14;30;22;30;0,4667;0,7333;1,2;0,8333;1,1;1,9333
69;06/08/2023;16:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Sousa;Falcon;19;30;17;30;0,6333;0,5667;1,2;1,0667;0,9;1,9667
70;06/08/2023;16:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Nacional-AM;Parnahyba;21;30;14;30;0,7;0,4667;1,1667;0,9;0,9;1,8
71;06/08/2023;16:00;BRAZIL;SERIE D - PLAY OFFS - 1/16-FINALS;Anapolis;Democrata GV;14;30;21;30;0,4667;0,7;1,1667;0,8;0,8333;1,6333
72;06/08/2023;15:00;BRAZIL;CAMPEONATO GAUCHO 2 - PLAY OFFS - SEMI-FINALS;Guarany de Bage;Monsoon;20;30;8;16;0,6667;0,5;1,1667;1,0;0,8125;1,8125
73;06/08/2023;11:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Figueirense;America RN;22;30;13;30;0,7333;0,4333;1,1666;0,8667;0,8;1,6667
74;06/08/2023;09:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 1;FC 08 Homburg;Aalen;17;30;17;30;0,5667;0,5667;1,1334;1,0667;1,1333;2,2
75;06/08/2023;08:00;CHINA;YI LEAGUE - ROUND 14;Dalian Zhixing;Beijing Technology;7;15;20;30;0,4667;0,6667;1,1334;0,5333;1,0;1,5333
76;06/08/2023;15:00;BRAZIL;CAMPEONATO POTIGUAR - RELEGATION - PLAY OFFS - FINAL;Globo;Alecrim;16;30;18;30;0,5333;0,6;1,1333;0,8;1,0667;1,8667
77;06/08/2023;15:30;BRAZIL;SERIE B - ROUND 22;Ponte Preta;Chapecoense-SC;16;30;18;30;0,5333;0,6;1,1333;0,8;0,8667;1,6667
78;06/08/2023;08:00;CHINA;JIA LEAGUE - ROUND 17;Nanjing City;Dongguan Guanlian;16;30;16;30;0,5333;0,5333;1,0666;0,9333;0,9667;1,9
79;06/08/2023;15:00;BRAZIL;CAMPEONATO CATARINENSE 2 - PLAY OFFS - QUARTER-FINALS;Gremio Juventus;Inter de Lages;18;30;11;30;0,6;0,3667;0,9667;0,9333;0,5333;1,4666
