Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
118;29/07/2023;05:30;AUSTRALIA;NPL VICTORIA - ROUND 24;Hume City;Melbourne Knights;30;23;1,3043;43;23;1,8696;3,1739
119;29/07/2023;15:00;URUGUAY;SEGUNDA DIVISION - ROUND 13;Progreso;Uruguay Montevideo;30;18;1,6667;27;18;1,5;3,1667
120;29/07/2023;08:35;CHINA;SUPER LEAGUE - ROUND 19;Chengdu Rongcheng;Zhejiang Professional;30;18;1,6667;27;18;1,5;3,1667
121;29/07/2023;07:00;VIETNAM;V.LEAGUE 2 - ROUND 13;Long An;BHTS Quang Nam;19;12;1,5833;19;12;1,5833;3,1666
122;29/07/2023;11:00;FINLAND;KAKKONEN GROUP A;NJS;PPJ;15;11;1,3636;18;10;1,8;3,1636
123;29/07/2023;11:00;ICELAND;DIVISION 2 - ROUND 14;Hottur / Huginn;KFG Gardabaer;18;13;1,3846;23;13;1,7692;3,1538
124;29/07/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 14;Dagon;Yadanarbon;23;13;1,7692;18;13;1,3846;3,1538
125;29/07/2023;11:00;ICELAND;DIVISION 1 - ROUND 14;Leiknir;Thor Akureyri;26;13;2,0;15;13;1,1538;3,1538
126;29/07/2023;06:00;JAPAN;J2 LEAGUE - ROUND 28;Shimizu S-Pulse;Okayama;51;27;1,8889;34;27;1,2593;3,1482
127;29/07/2023;03:30;AUSTRALIA;NPL TASMANIA - ROUND 15;Glenorchy Knights;Launceston United;34;14;2,4286;10;14;0,7143;3,1429
128;29/07/2023;20:00;CANADA;CANADIAN PREMIER LEAGUE;Atl. Ottawa;Cavalry;24;16;1,5;26;16;1,625;3,125
129;29/07/2023;20:00;USA;USL LEAGUE ONE;Charlotte Independ.;Northern Colorado;26;20;1,3;31;17;1,8235;3,1235
130;29/07/2023;08:35;CHINA;SUPER LEAGUE - ROUND 19;Tianjin Jinmen Tiger;Changchun Yatai;25;18;1,3889;31;18;1,7222;3,1111
131;29/07/2023;07:00;JAPAN;J3 LEAGUE - ROUND 20;Kagoshima Utd;Toyama;27;19;1,4211;32;19;1,6842;3,1053
132;29/07/2023;22:00;USA;USL CHAMPIONSHIP;San Antonio;Hartford Athletic;37;20;1,85;25;20;1,25;3,1
133;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Cockburn City;Olympic Kingsway;24;18;1,3333;30;17;1,7647;3,098
134;29/07/2023;10:00;FINLAND;KAKKONEN GROUP A;Futura;Keski-Uusimaa;12;11;1,0909;22;11;2,0;3,0909
135;29/07/2023;11:00;ICELAND;DIVISION 1 - ROUND 14;Vestri;Grotta;15;12;1,25;22;12;1,8333;3,0833
136;29/07/2023;11:00;ICELAND;DIVISION 2 - ROUND 14;KV Reykjavik;Fjardabyggd/Leiknir;13;13;1,0;27;13;2,0769;3,0769
137;29/07/2023;08:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;Dalkurd;Boden;24;14;1,7143;19;14;1,3571;3,0714
138;29/07/2023;20:00;USA;USL CHAMPIONSHIP;Pittsburgh;Memphis;27;22;1,2273;35;19;1,8421;3,0694
139;29/07/2023;20:30;USA;NISA;Gold Star;Chattanooga;13;10;1,3;23;13;1,7692;3,0692
140;29/07/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 15;Big Bullets;Karonga United;25;13;1,9231;16;14;1,1429;3,066
141;29/07/2023;12:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 17;Kaisar Kyzylorda;Kairat Almaty;18;16;1,125;31;16;1,9375;3,0625
142;29/07/2023;08:35;CHINA;SUPER LEAGUE - ROUND 19;Shanghai Shenhua;Shanghai Port;20;18;1,1111;35;18;1,9444;3,0555
143;29/07/2023;22:00;USA;MLS NEXT PRO;Minnesota 2;San Jose Earthquakes II;35;18;1,9444;20;18;1,1111;3,0555
144;29/07/2023;06:00;AUSTRALIA;NPL NSW - ROUND 26;St. George City;Mount Druitt Rangers;48;25;1,92;28;25;1,12;3,04
145;29/07/2023;12:10;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Dep. Riestra;Deportivo Maipu;32;23;1,3913;37;23;1,6087;3,0
146;29/07/2023;09:15;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 3;Cong An;Hai Phong;31;15;2,0667;14;15;0,9333;3,0
147;29/07/2023;20:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;Santos Laguna;Orlando City;2;1;2,0;1;1;1,0;3,0
148;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Partick Thistle;Spartans;5;3;1,6667;4;3;1,3333;3,0
149;29/07/2023;22:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;U.N.A.M.- Pumas;DC United;2;1;2,0;1;1;1,0;3,0
150;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Motherwell;East Fife;6;3;2,0;3;3;1,0;3,0
151;29/07/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 2;Cancun;Venados;0;1;0,0;3;1;3,0;3,0
152;29/07/2023;15:30;ROMANIA;LIGA 1 - ROUND 3;Otelul;FCSB;1;2;0,5;5;2;2,5;3,0
153;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Albion Rovers;Kilmarnock;2;3;0,6667;7;3;2,3333;3,0
154;29/07/2023;09:00;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Illertissen;Burghausen;0;1;0,0;3;1;3,0;3,0
155;29/07/2023;15:00;POLAND;DIVISION 1 - ROUND 2;Termalica B-B.;Legnica;2;1;2,0;1;1;1,0;3,0
156;29/07/2023;13:30;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Dynamo Moscow 2;Vladimir;2;1;2,0;1;1;1,0;3,0
157;29/07/2023;08:15;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Zvezda St. Peterburg;Kirov;2;1;2,0;1;1;1,0;3,0
158;29/07/2023;11:00;RUSSIA;FNL 2 - DIVISION B - GROUP 1 - ROUND 3;Astrakhan;Dynamo Makhachkala 2;4;2;2,0;1;1;1,0;3,0
159;29/07/2023;06:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 3;Ingolstadt II;Eichstatt;2;2;1,0;4;2;2,0;3,0
160;29/07/2023;10:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 3;Kornburg;Gebenbach;2;2;1,0;4;2;2,0;3,0
161;29/07/2023;21:00;USA;USL LEAGUE ONE;Union Omaha;Tormenta;25;18;1,3889;29;18;1,6111;3,0
162;29/07/2023;15:00;POLAND;EKSTRAKLASA - ROUND 2;Slask Wroclaw;Zaglebie;1;1;1,0;2;1;2,0;3,0
163;29/07/2023;12:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Ismaning;Schwaben Augsburg;3;2;1,5;3;2;1,5;3,0
164;29/07/2023;10:00;POLAND;DIVISION 1 - ROUND 2;Podbeskidzie;Pruszkow;1;1;1,0;2;1;2,0;3,0
165;29/07/2023;12:30;POLAND;DIVISION 1 - ROUND 2;Zaglebie Sosnowiec;Wisla Plock;2;1;2,0;1;1;1,0;3,0
166;29/07/2023;09:00;RUSSIA;PREMIER LEAGUE - ROUND 2;Krylya Sovetov;Dynamo Moscow;2;1;2,0;1;1;1,0;3,0
