Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
265;29/07/2023;06:00;JAPAN;J2 LEAGUE - ROUND 28;Tochigi SC;Kofu;23;27;0,8519;42;27;1,5556;2,4075
266;29/07/2023;02:00;AUSTRALIA;NPL NSW - ROUND 26;Bulls Academy;WS Wanderers U21;22;25;0,88;38;25;1,52;2,4
267;29/07/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 14;Neftchi Fargona;Metallurg Bekabad;20;13;1,5385;11;13;0,8462;2,3847
268;29/07/2023;17:00;CANADA;CANADIAN PREMIER LEAGUE;Valour;Pacific FC;13;16;0,8125;25;16;1,5625;2,375
269;29/07/2023;16:00;BRAZIL;SERIE A - ROUND 17;Athletico-PR;Cruzeiro;22;16;1,375;16;16;1,0;2,375
270;29/07/2023;10:00;FINLAND;YKKONEN;JaPS;HIFK;16;16;1,0;22;16;1,375;2,375
271;29/07/2023;06:00;JAPAN;J3 LEAGUE - ROUND 20;Nagano;Sagamihara;26;19;1,3684;19;19;1,0;2,3684
272;29/07/2023;10:30;NORWAY;ELITESERIEN - ROUND 16;Valerenga;Sandefjord;16;14;1,1429;17;14;1,2143;2,3572
273;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Kolstad;Orkla;12;12;1,0;16;12;1,3333;2,3333
274;29/07/2023;11:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Mjondalen 2;Donn;13;12;1,0833;15;12;1,25;2,3333
275;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Bonnyrigg Rose;Airdrieonians;1;3;0,3333;6;3;2,0;2,3333
276;29/07/2023;07:00;JAPAN;J3 LEAGUE - ROUND 20;Imabari;Tegevajaro Miyazaki;27;19;1,4211;17;19;0,8947;2,3158
277;29/07/2023;07:00;SINGAPORE;PREMIER LEAGUE;Young Lions;Hougang;20;20;1,0;25;19;1,3158;2,3158
278;29/07/2023;14:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Germinal;Villa Mitre;21;20;1,05;24;19;1,2632;2,3132
279;29/07/2023;08:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 14;Skiljebo;Uppsala;23;13;1,7692;7;13;0,5385;2,3077
280;29/07/2023;11:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 14;Tolo;Hittarp;10;13;0,7692;20;13;1,5385;2,3077
281;29/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Claypole;Justo Jose de Urquiza;30;27;1,1111;31;26;1,1923;2,3034
282;29/07/2023;16:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 15;Operario;Nautico;14;14;1,0;18;14;1,2857;2,2857
283;29/07/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Torns;Ljungskile;12;14;0,8571;20;14;1,4286;2,2857
284;29/07/2023;11:00;BRAZIL;SERIE B - ROUND 20;Chapecoense-SC;Mirassol;21;18;1,1667;21;19;1,1053;2,272
285;29/07/2023;10:00;SWEDEN;SUPERETTAN - ROUND 16;Orgryte;Brage;15;15;1,0;19;15;1,2667;2,2667
286;29/07/2023;07:00;VIETNAM;V.LEAGUE 1 - RELEGATION GROUP - ROUND 3;Khanh Hoa;Ho Chi Minh;14;15;0,9333;20;15;1,3333;2,2666
287;29/07/2023;06:00;JAPAN;J3 LEAGUE - ROUND 20;Giravanz Kitakyushu;Gainare Tottori;17;19;0,8947;26;19;1,3684;2,2631
288;29/07/2023;06:00;VIETNAM;V.LEAGUE 2 - ROUND 13;Phu Tho;Binh Phuoc;11;12;0,9167;16;12;1,3333;2,25
289;29/07/2023;14:30;ARGENTINA;TORNEO FEDERAL - ROUND 23;Ciudad Bolivar;Juventud Unida Universitario;29;19;1,5263;14;20;0,7;2,2263
290;29/07/2023;19:05;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Quilmes;Atl. Rafaela;27;23;1,1739;24;23;1,0435;2,2174
291;29/07/2023;21:00;USA;MLS NEXT PRO;St. Louis City 2;Los Angeles FC II;23;19;1,2105;18;18;1,0;2,2105
292;29/07/2023;12:30;SWEDEN;ALLSVENSKAN - ROUND 17;Degerfors;Brommapojkarna;16;17;0,9412;20;16;1,25;2,1912
293;29/07/2023;08:35;CHINA;SUPER LEAGUE - ROUND 19;Meizhou Hakka;Dalian Pro;25;18;1,3889;14;18;0,7778;2,1667
294;29/07/2023;11:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 14;Froso IF;Sandvik;15;13;1,1538;13;13;1,0;2,1538
295;29/07/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Canuelas;San Miguel;5;7;0,7143;10;7;1,4286;2,1429
296;29/07/2023;20:30;USA;USL CHAMPIONSHIP;Loudoun;Miami FC;24;22;1,0909;22;21;1,0476;2,1385
297;29/07/2023;23:00;USA;USL CHAMPIONSHIP;Oakland Roots;Detroit;29;21;1,381;16;22;0,7273;2,1083
298;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Ferro Gen. Pico;Biblioteca Atenas;20;20;1,0;21;19;1,1053;2,1053
299;29/07/2023;02:00;AUSTRALIA;NPL VICTORIA - ROUND 24;Moreland City;Heidelberg Utd;24;23;1,0435;23;22;1,0455;2,089
300;29/07/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 15;Kamuzu Barracks;Mighty Wanderers;13;14;0,9286;15;13;1,1538;2,0824
301;29/07/2023;17:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Independiente;Boca Juniors;23;26;0,8846;31;26;1,1923;2,0769
302;29/07/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Tvaaker;Atvidaberg;15;14;1,0714;14;14;1,0;2,0714
303;29/07/2023;06:00;JAPAN;J2 LEAGUE - ROUND 28;Blaublitz;Kusatsu;23;26;0,8846;32;27;1,1852;2,0698
304;29/07/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Union Sunchales;Douglas Haig;14;20;0,7;26;19;1,3684;2,0684
305;29/07/2023;08:00;CHINA;JIA LEAGUE - ROUND 16;Yanbian Longding;Suzhou Dongwu;14;15;0,9333;17;15;1,1333;2,0666
306;29/07/2023;08:00;VIETNAM;V.LEAGUE 1 - RELEGATION GROUP - ROUND 3;Song Lam Nghe An;Binh Duong;17;15;1,1333;14;15;0,9333;2,0666
307;29/07/2023;16:30;CHILE;SEGUNDA DIVISION - ROUND 17;Osorno;Arturo Fernandez Vial;18;16;1,125;15;16;0,9375;2,0625
308;29/07/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 15;Chitipa United;Moyale Barracks;17;14;1,2143;11;13;0,8462;2,0605
309;29/07/2023;18:00;BRAZIL;SERIE B - ROUND 20;Atletico GO;Sampaio Correa;25;19;1,3158;14;19;0,7368;2,0526
310;29/07/2023;21:00;USA;USL CHAMPIONSHIP;Louisville City;Indy Eleven;18;20;0,9;23;20;1,15;2,05
311;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;9 de Julio Rafaela;Gimnasia y Tiro;19;19;1,0;21;20;1,05;2,05
312;29/07/2023;06:15;AUSTRALIA;NPL NSW - ROUND 26;Manly Utd;Sutherland Sharks;34;25;1,36;17;25;0,68;2,04
313;29/07/2023;12:00;ICELAND;BESTA DEILD WOMEN - ROUND 14;Stjarnan W;Tindastoll W;14;12;1,1667;11;13;0,8462;2,0129
314;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Annan;Raith;1;3;0,3333;5;3;1,6667;2,0
315;29/07/2023;12:30;SLOVENIA;PRVA LIGA - ROUND 2;Koper;Radomlje;2;1;2,0;0;1;0,0;2,0
316;29/07/2023;13:00;POLAND;DIVISION 2 - ROUND 2;Kotwica Kolobrzeg;Olimpia Elblag;0;1;0,0;2;1;2,0;2,0
317;29/07/2023;06:00;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Rodina Moscow U21;Khimik;0;1;0,0;2;1;2,0;2,0
318;29/07/2023;11:00;RUSSIA;FNL 2 - DIVISION B - GROUP 4 - ROUND 3;Rubin Kazan 2;Orenburg 2;1;1;1,0;1;1;1,0;2,0
319;29/07/2023;11:30;RUSSIA;PREMIER LEAGUE - ROUND 2;Ural;Nizhny Novgorod;2;1;2,0;0;1;0,0;2,0
320;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Falkirk;Peterhead;4;3;1,3333;2;3;0,6667;2,0
321;29/07/2023;13:00;SWITZERLAND;SUPER LEAGUE - ROUND 2;Lausanne;Grasshoppers;1;1;1,0;1;1;1,0;2,0
322;29/07/2023;22:30;PERU;LIGA 1 - CLAUSURA - ROUND 6;Cesar Vallejo;Alianza Lima;7;5;1,4;3;5;0,6;2,0
323;29/07/2023;12:30;POLAND;EKSTRAKLASA - ROUND 2;Jagiellonia;Puszcza;0;1;0,0;2;1;2,0;2,0
324;29/07/2023;08:00;RUSSIA;FNL 2 - DIVISION B - GROUP 4 - ROUND 3;Khimik Avgust;Uralets Nizhny Tagil;3;2;1,5;1;2;0,5;2,0
325;29/07/2023;10:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Peresvet;Dynamo Vladivostok;2;1;2,0;0;0;0;2,0
326;29/07/2023;11:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Kvant;Arsenal Tula 2;2;1;2,0;0;1;0,0;2,0
327;29/07/2023;06:00;RUSSIA;FNL 2 - DIVISION A SILVER - FALL SEASON - ROUND 3;Amkar;Lipetsk;3;2;1,5;1;2;0,5;2,0
328;29/07/2023;07:00;JAPAN;J3 LEAGUE - ROUND 20;Vanraure;Osaka;22;19;1,1579;16;19;0,8421;2,0
329;29/07/2023;21:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;Austin FC;Juarez;1;1;1,0;1;1;1,0;2,0
330;29/07/2023;11:00;DENMARK;SUPERLIGA - ROUND 2;Vejle;FC Copenhagen;0;1;0,0;2;1;2,0;2,0
331;29/07/2023;12:30;BULGARIA;VTORA LIGA - ROUND 3;Strumska Slava;Litex Lovech;3;2;1,5;1;2;0,5;2,0
332;29/07/2023;16:30;CHILE;SEGUNDA DIVISION - ROUND 17;Valdivia;Linares Unido;14;16;0,875;18;16;1,125;2,0
333;29/07/2023;08:00;CHINA;JIA LEAGUE - ROUND 16;Shenyang Urban FC;Guangzhou FC;12;15;0,8;18;15;1,2;2,0
334;29/07/2023;05:00;CHINA;YI LEAGUE - ROUND 13;Hubei Istar;Taian Tiankuang;10;12;0,8333;14;12;1,1667;2,0
335;29/07/2023;09:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Gundelfingen;Kirchheimer;3;2;1,5;1;2;0,5;2,0
336;29/07/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Atl. Nacional;Jaguares de Cordoba;1;1;1,0;2;2;1,0;2,0
337;29/07/2023;11:00;ICELAND;DIVISION 1 - ROUND 14;Njardvik;Grindavik;14;13;1,0769;12;13;0,9231;2,0
338;29/07/2023;21:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Alajuelense;Liberia;1;1;1,0;1;1;1,0;2,0
339;29/07/2023;18:00;BRAZIL;COPA PAULISTA - ROUND 5;Marilia;Mirassol;2;4;0,5;6;4;1,5;2,0
340;29/07/2023;13:45;CROATIA;HNL - ROUND 2;Gorica;Lok. Zagreb;1;1;1,0;1;1;1,0;2,0
341;29/07/2023;16:00;CROATIA;HNL - ROUND 2;Istra 1961;D. Zagreb;1;1;1,0;1;1;1,0;2,0
342;29/07/2023;12:00;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Kromeriz;Prostejov;0;1;0,0;2;1;2,0;2,0
343;29/07/2023;12:00;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Lisen;Jihlava;0;1;0,0;2;1;2,0;2,0
344;29/07/2023;19:00;BRAZIL;COPA PAULISTA - ROUND 5;Sao Jose EC;Santo Andre;6;4;1,5;2;4;0,5;2,0
345;29/07/2023;13:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Estudiantes Rio Cuarto;San Martin S.J.;20;25;0,8;30;25;1,2;2,0
346;29/07/2023;20:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;Necaxa;Charlotte;0;1;0,0;2;1;2,0;2,0
347;29/07/2023;09:00;DENMARK;1ST DIVISION - ROUND 2;Kolding IF;Hillerod;2;1;2,0;0;1;0,0;2,0
348;29/07/2023;11:00;LITHUANIA;I LYGA - ROUND 16;Kauno Zalgiris 2;Jonava;18;15;1,2;12;15;0,8;2,0
349;29/07/2023;15:00;MONTENEGRO;PRVA CRNOGORSKA LIGA - ROUND 2;OFK Petrovac;Mladost DG;0;1;0,0;2;1;2,0;2,0
350;29/07/2023;20:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 2;Tlaxcala;Atlante;1;1;1,0;1;1;1,0;2,0
351;29/07/2023;15:00;WORLD;COTIF TOURNAMENT;Real Madrid U20;Real Murcia U20;7;1;7,0;0;0;7,0;14,0
352;29/07/2023;08:00;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Irkutsk;Zenit 2;3;1;3,0;7;1;7,0;10,0
353;29/07/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Deportivo Moron;Gimnasia Mendoza;26;25;1,04;23;24;0,9583;1,9983
354;29/07/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Defensores Belgrano VR;Independiente Chivilcoy;16;19;0,8421;23;20;1,15;1,9921
355;29/07/2023;20:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Almirante Brown;Alvarado;27;25;1,08;21;24;0,875;1,955
356;29/07/2023;19:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Cipolletti;Santamarina;21;20;1,05;17;19;0,8947;1,9447
357;29/07/2023;10:00;URUGUAY;SEGUNDA DIVISION - ROUND 13;Bella Vista;Juventud;16;18;0,8889;19;18;1,0556;1,9445
358;29/07/2023;08:35;CHINA;SUPER LEAGUE - ROUND 19;Nantong Zhiyun;Cangzhou;14;18;0,7778;21;18;1,1667;1,9445
359;29/07/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 19;12 de Octubre;24 de Setiembre;13;18;0,7222;22;18;1,2222;1,9444
360;29/07/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 19;Martin Ledesma;Sp. Carapegua;15;18;0,8333;20;18;1,1111;1,9444
361;29/07/2023;15:30;BRAZIL;SERIE B - ROUND 20;Botafogo SP;Juventude;15;18;0,8333;21;19;1,1053;1,9386
362;29/07/2023;17:00;BRAZIL;SERIE B - ROUND 20;Avai;Guarani;12;18;0,6667;24;19;1,2632;1,9299
363;29/07/2023;23:30;USA;USL LEAGUE ONE;Central Valley Fuego;One Knoxville;13;17;0,7647;23;20;1,15;1,9147
364;29/07/2023;21:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Central Norte;San Martin Formosa;23;19;1,2105;14;20;0,7;1,9105
365;29/07/2023;15:55;ARGENTINA;TORNEO FEDERAL - ROUND 23;Sol de America;Crucero del Norte;21;20;1,05;16;19;0,8421;1,8921
366;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Def. Pronunciamiento;Sportivo Las Parejas;15;19;0,7895;22;20;1,1;1,8895
367;29/07/2023;07:00;JAPAN;J2 LEAGUE - ROUND 28;Chiba;Renofa Yamaguchi;29;27;1,0741;22;27;0,8148;1,8889
368;29/07/2023;14:10;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Nueva Chicago;Guillermo Brown;23;24;0,9583;23;25;0,92;1,8783
369;29/07/2023;17:30;PERU;LIGA 2 - ROUND 17;Union Huaral;U. San Martin;10;16;0,625;20;16;1,25;1,875
370;29/07/2023;12:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 17;Aksu;Shakhter Karagandy;12;16;0,75;18;16;1,125;1,875
371;29/07/2023;15:00;CANADA;CSL;Ooty Black Pearl;Weston United;8;7;1,1429;5;7;0,7143;1,8572
372;29/07/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 9;Def. de Cambaceres;Sportivo Barracas;9;7;1,2857;4;7;0,5714;1,8571
373;29/07/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Comunicaciones;Villa San Carlos;6;6;1,0;6;7;0,8571;1,8571
374;29/07/2023;20:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Tigre;San Lorenzo;25;26;0,9615;23;26;0,8846;1,8461
375;29/07/2023;05:00;CHINA;YI LEAGUE - ROUND 13;Nantong Haimen;Wuhan Jiangcheng;13;12;1,0833;9;12;0,75;1,8333
376;29/07/2023;15:30;BRAZIL;CAMPEONATO MINEIRO 2 - FINAL STAGE - ROUND 7;Aymores;Itabirito;6;6;1,0;5;6;0,8333;1,8333
377;29/07/2023;16:00;BRAZIL;SERIE A - ROUND 17;Internacional;Cuiaba;13;16;0,8125;16;16;1,0;1,8125
378;29/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Chicken Inn;Hwange;16;16;1,0;13;16;0,8125;1,8125
379;29/07/2023;10:00;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Helsinki W;Honka W;10;12;0,8333;11;12;0,9167;1,75
380;29/07/2023;05:30;VIETNAM;V.LEAGUE 2 - ROUND 13;Hoa Binh;Ba Ria Vung Tau;10;12;0,8333;11;12;0,9167;1,75
381;29/07/2023;15:00;SWEDEN;ALLSVENSKAN - ROUND 17;Halmstad;Varberg;17;16;1,0625;11;16;0,6875;1,75
382;29/07/2023;14:05;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Deportivo Armenio;Los Andes;7;6;1,1667;4;7;0,5714;1,7381
383;29/07/2023;07:00;VIETNAM;V.LEAGUE 1 - RELEGATION GROUP - ROUND 3;Gia Lai;Da Nang;18;15;1,2;8;15;0,5333;1,7333
384;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Sol de Mayo;CA Liniers;19;19;1,0;14;20;0,7;1,7
385;29/07/2023;15:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Sarmiento Junin;Banfield;23;26;0,8846;21;26;0,8077;1,6923
386;29/07/2023;19:00;DOMINICAN REPUBLIC;LDF - WINNERS STAGE - ROUND 3;Universidad O&M;Moca;2;3;0,6667;2;2;1,0;1,6667
387;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Arbroath;Montrose;2;3;0,6667;3;3;1,0;1,6667
388;29/07/2023;14:45;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 5;Friburguense;Resende;3;9;0,3333;12;9;1,3333;1,6666
389;29/07/2023;14:30;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Central Cordoba;Atl. Tucuman;20;26;0,7692;23;26;0,8846;1,6538
390;29/07/2023;10:00;FINLAND;KAKKONEN GROUP A;TiPS;Kiffen;7;11;0,6364;11;11;1,0;1,6364
391;29/07/2023;10:00;FINLAND;YKKONEN;KPV Kokkola;Jaro;12;16;0,75;14;16;0,875;1,625
392;29/07/2023;03:00;AUSTRALIA;NPL VICTORIA - ROUND 24;St Albans;North Geelong;21;23;0,913;16;23;0,6957;1,6087
393;29/07/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Temperley;Almagro;25;24;1,0417;14;25;0,56;1,6017
394;29/07/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 13;UD Songo;ENH Vilankulo;12;12;1,0;7;12;0,5833;1,5833
395;29/07/2023;17:00;BRAZIL;SERIE B - ROUND 20;ABC;Londrina;13;19;0,6842;17;19;0,8947;1,5789
396;29/07/2023;17:30;PERU;LIGA 2 - ROUND 17;Juan Aurich;Pirata;13;16;0,8125;12;16;0,75;1,5625
397;29/07/2023;13:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 16;TB Tvoroyri;IF Fuglafjordur;11;15;0,7333;12;15;0,8;1,5333
398;29/07/2023;18:30;BRAZIL;SERIE A - ROUND 17;Corinthians;Vasco;12;15;0,8;11;15;0,7333;1,5333
399;29/07/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 23;Boca Unidos;Juventud Antoniana;18;20;0,9;12;19;0,6316;1,5316
400;29/07/2023;12:00;LITHUANIA;A LYGA - ROUND 24;Dziugas Telsiai;Suduva;19;23;0,8261;15;22;0,6818;1,5079
401;29/07/2023;08:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Ahlafors IF;Vanersborgs IF;10;14;0,7143;11;14;0,7857;1,5
402;29/07/2023;09:00;MOZAMBIQUE;MOCAMBOLA - ROUND 13;Baia de Pemba;Matchejde De Maputo;9;12;0,75;9;12;0,75;1,5
403;29/07/2023;05:00;PHILIPPINES;COPA PAULINO ALCANTARA;Adamson University;Tuloy;0;1;0,0;3;2;1,5;1,5
404;29/07/2023;15:00;BRAZIL;COPA PAULISTA - ROUND 5;Juventus-SP;Ponte Preta;5;4;1,25;1;4;0,25;1,5
405;29/07/2023;09:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Kottern-St. Mang;Kirchanschoring;1;2;0,5;2;2;1,0;1,5
406;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Gretna 2008;Linlithgow Rose;0;2;0,0;3;2;1,5;1,5
407;29/07/2023;07:00;RUSSIA;FNL 2 - DIVISION A SILVER - FALL SEASON - ROUND 3;FK Novosibirsk;Forte Taganrog;1;2;0,5;2;2;1,0;1,5
408;29/07/2023;11:00;RUSSIA;FNL 2 - DIVISION A SILVER - FALL SEASON - ROUND 3;Rodina Moscow 2;Chertanovo M.;2;2;1,0;1;2;0,5;1,5
409;29/07/2023;11:00;RUSSIA;FNL 2 - DIVISION B - GROUP 1 - ROUND 3;Alania 2;Legion Makhachkala;0;1;0,0;3;2;1,5;1,5
410;29/07/2023;12:30;BULGARIA;VTORA LIGA - ROUND 3;Bdin Vidin;Marek;1;2;0,5;2;2;1,0;1,5
411;29/07/2023;15:15;BULGARIA;PARVA LIGA - ROUND 3;Pirin Blagoevgrad;Botev Plovdiv;1;2;0,5;2;2;1,0;1,5
412;29/07/2023;13:00;BULGARIA;PARVA LIGA - ROUND 3;Hebar;Beroe;0;2;0,0;3;2;1,5;1,5
413;29/07/2023;07:00;RUSSIA;FNL 2 - DIVISION B - GROUP 4 - ROUND 3;Dynamo Barnaul;Akron Togliatti 2;1;2;0,5;2;2;1,0;1,5
414;29/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Leandro N. Alem;Victoriano A.;18;26;0,6923;20;27;0,7407;1,433
415;29/07/2023;06:00;JAPAN;J3 LEAGUE - ROUND 20;Kamatamare;Fukushima Utd;13;19;0,6842;14;19;0,7368;1,421
416;29/07/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 15;Mighty Tigers;Blue Eagles;7;13;0,5385;12;14;0,8571;1,3956
417;29/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Platinum;Sheasham;15;16;0,9375;6;15;0,4;1,3375
418;29/07/2023;05:00;CHINA;YI LEAGUE - ROUND 13;Beijing Technology;Zibo Qisheng;10;12;0,8333;6;12;0,5;1,3333
419;29/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;ZPC Kariba;Cranborne Bullets;12;16;0,75;8;16;0,5;1,25
420;29/07/2023;17:15;PERU;LIGA 1 - CLAUSURA - ROUND 6;Cajamarca;Union Comercio;4;5;0,8;2;5;0,4;1,2
421;29/07/2023;14:00;ICELAND;BESTA DEILD WOMEN - ROUND 14;Selfoss W;Keflavik W;7;12;0,5833;7;12;0,5833;1,1666
422;29/07/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Atlas W;Juarez W;1;2;0,5;1;2;0,5;1,0
423;29/07/2023;08:00;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Tver;Dynamo Vologda;0;1;0,0;1;1;1,0;1,0
424;29/07/2023;12:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Khimki 2;Kaluga;0;1;0,0;1;1;1,0;1,0
425;29/07/2023;20:10;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Petrolera;Millonarios;1;1;1,0;0;2;0,0;1,0
426;29/07/2023;12:00;POLAND;DIVISION 2 - ROUND 2;Pogon Siedlce;S. Wola;1;1;1,0;0;1;0,0;1,0
427;29/07/2023;03:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;SKA Khabarovsk 2;Kosmos;0;1;0,0;1;1;1,0;1,0
428;29/07/2023;03:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Sakhalin;FK Strogino Moscow;0;0;0;1;1;1,0;1,0
429;29/07/2023;12:30;PERU;LIGA WOMEN - CHAMPIONSHIP GROUP - ROUND 4;AD Cantolao W;Carlos Mannucci W;1;3;0,3333;2;3;0,6667;1,0
430;29/07/2023;12:00;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Vlasim;Chrudim;1;1;1,0;0;1;0,0;1,0
431;29/07/2023;20:15;PANAMA;LPF - CLAUSURA - ROUND 2;Deportivo Universitario;Herrera;0;1;0,0;1;1;1,0;1,0
432;29/07/2023;15:30;MONTENEGRO;PRVA CRNOGORSKA LIGA - ROUND 2;Jedinstvo;Rudar;1;1;1,0;0;1;0,0;1,0
433;29/07/2023;14:00;BULGARIA;VTORA LIGA - ROUND 3;Montana;Chernomorets Balchik;2;2;1,0;0;2;0,0;1,0
434;29/07/2023;15:15;SLOVENIA;PRVA LIGA - ROUND 2;O. Ljubljana;Rogaska;1;1;1,0;0;1;0,0;1,0
435;29/07/2023;08:00;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Torpedo Moscow 2;Dynamo Petersburg;0;1;0,0;1;1;1,0;1,0
436;29/07/2023;17:30;WORLD;COTIF TOURNAMENT;Mauritania U20;Alzira U20;1;1;1,0;0;0;0;1,0
437;29/07/2023;08:00;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Electron VN;Krasnogorsk;0;1;0,0;1;1;1,0;1,0
438;29/07/2023;20:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Cruz Azul;Atlanta Utd;1;1;1,0;0;1;0,0;1,0
439;29/07/2023;10:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;FK Pardubice;Jablonec;0;1;0,0;1;1;1,0;1,0
440;29/07/2023;12:00;RUSSIA;FNL 2 - DIVISION B - GROUP 1 - ROUND 3;Maykop;Rubin Yalta;0;1;0,0;2;2;1,0;1,0
441;29/07/2023;16:00;BRAZIL;COPA PAULISTA - ROUND 5;Gremio Prudente;Sao Bento;2;4;0,5;1;4;0,25;0,75
442;29/07/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;UAI Urquiza;Sacachispas;5;7;0,7143;0;6;0,0;0,7143
443;29/07/2023;10:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 3;Bayern Hof;1. SC Feucht;0;2;0,0;1;2;0,5;0,5
444;29/07/2023;12:30;PERU;LIGA WOMEN - RELEGATION GROUP - ROUND 3;U. San Martin W;Ayacucho W;1;2;0,5;0;1;0,0;0,5
445;29/07/2023;11:00;RUSSIA;FNL 2 - DIVISION B - GROUP 1 - ROUND 3;Biolog;Dynamo Stavropol;1;2;0,5;0;1;0,0;0,5
446;29/07/2023;09:30;WORLD;WORLD CUP WOMEN - ROUND 2;Panama W;Jamaica W;0;1;0,0;0;1;0,0;0,0
