Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;04/08/2023;14:30;GERMANY;OBERLIGA HAMBURG - ROUND 2;Suderelbe;HEBC Hamburg;5;1;5,0;4;1;4,0;9,0
2;04/08/2023;13:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 7;Maziya;Club Eagles;23;5;4,6;25;6;4,1667;8,7667
3;04/08/2023;13:30;AUSTRIA;REGIONALLIGA WEST - ROUND 2;Hohenems;Schwaz;4;1;4,0;4;1;4,0;8,0
4;04/08/2023;13:30;GERMANY;OBERLIGA BAYERN NORD - ROUND 4;Hankofen-Hailing;Cham;9;3;3,0;13;3;4,3333;7,3333
5;04/08/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 11;Cliftonville W;Derry City W;56;9;6,2222;9;10;0,9;7,1222
6;04/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 2;St. Polten;Lafnitz;4;1;4,0;3;1;3,0;7,0
7;04/08/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 11;Crusaders W;Linfield W;28;10;2,8;37;9;4,1111;6,9111
8;04/08/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 11;Glentoran W;Mid-Ulster W;60;10;6,0;4;10;0,4;6,4
9;04/08/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 4;Eltersdorf;Abtswind;8;2;4,0;6;3;2,0;6,0
10;04/08/2023;06:00;UKRAINE;YOUTH LEAGUE - ROUND 2;Oleksandriya U19;Metalist 1925 U19;4;1;4,0;2;1;2,0;6,0
11;04/08/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 2;Zwickau;Luckenwalde;0;1;0,0;6;1;6,0;6,0
12;04/08/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 2;Wiener Sport-Club;Kremser;2;1;2,0;4;1;4,0;6,0
13;04/08/2023;09:00;RUSSIA;YOUTH LEAGUE - ROUND 5;FK Orenburg U19;Lokomotiv Moscow U19;6;4;1,5;17;4;4,25;5,75
