Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
14;04/08/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 5;Zenit U19;Sochi U19;14;4;3,5;9;4;2,25;5,75
15;04/08/2023;13:30;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 2;Dornbreite Lubeck;Lubeck II;1;1;1,0;4;1;4,0;5,0
16;04/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 2;WSC Wels;ASK Klagenfurt;4;1;4,0;1;1;1,0;5,0
17;04/08/2023;14:00;AUSTRIA;REGIONALLIGA WEST - ROUND 2;SC Imst;Dornbirner SV;2;1;2,0;3;1;3,0;5,0
18;04/08/2023;19:00;NICARAGUA;LIGA PRIMERA U20 - APERTURA - ROUND 2;Esteli U20;Jalapa U20;4;1;4,0;1;1;1,0;5,0
19;04/08/2023;08:45;SINGAPORE;PREMIER LEAGUE;Tampines;Lion City;40;21;1,9048;63;21;3,0;4,9048
20;04/08/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 18;Taraz;Yelimay Semey;30;16;1,875;45;16;2,8125;4,6875
21;04/08/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 3;Burghausen;Aubstadt;4;2;2,0;5;2;2,5;4,5
22;04/08/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 4;Gebenbach;Ingolstadt II;6;3;2,0;7;3;2,3333;4,3333
23;04/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 18;Turan;Aktobe 2;45;15;3,0;19;16;1,1875;4,1875
24;04/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 15;Kuktosh;Istiqlol Dushanbe;24;14;1,7143;32;13;2,4615;4,1758
25;04/08/2023;12:00;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 19;Spaeri;Dinamo Tbilisi 2;32;18;1,7778;41;18;2,2778;4,0556
26;04/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 2;Dornbirn;Grazer AK;1;1;1,0;3;1;3,0;4,0
27;04/08/2023;14:00;DENMARK;1ST DIVISION - ROUND 3;Horsens;Koge;1;2;0,5;7;2;3,5;4,0
28;04/08/2023;14:00;AUSTRIA;REGIONALLIGA EAST - ROUND 2;SK Rapid Vienna (Am);Donaufeld Wien;3;1;3,0;1;1;1,0;4,0
29;04/08/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 5;Chertanovo M. U19;Spartak Moscow U19;8;4;2,0;8;4;2,0;4,0
30;04/08/2023;14:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 2;Eckernforder SV;Heider SV;0;1;0,0;4;1;4,0;4,0
31;04/08/2023;13:00;POLAND;EKSTRAKLASA - ROUND 3;Jagiellonia;Widzew Lodz;4;2;2,0;4;2;2,0;4,0
32;04/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 2;Gleisdorf;Bad Gleichenberg;2;1;2,0;2;1;2,0;4,0
33;04/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 2;LASK (Am);ASK Voitsberg;0;1;0,0;4;1;4,0;4,0
34;04/08/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 2;Obolon;Dyn. Kyiv;0;1;0,0;4;1;4,0;4,0
35;04/08/2023;13:30;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 2;Vols;SC Kundl;2;1;2,0;2;1;2,0;4,0
36;04/08/2023;06:00;UKRAINE;YOUTH LEAGUE - ROUND 2;Obolon Kiev U19;Dyn. Kyiv U19;1;1;1,0;3;1;3,0;4,0
37;04/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 18;Jas Qyran;Ekibastuz;36;16;2,25;27;16;1,6875;3,9375
38;04/08/2023;12:00;BELARUS;PERSHAYA LIGA - ROUND 17;Molodechno;Arsenal Dzyarzhynsk;23;15;1,5333;36;15;2,4;3,9333
39;04/08/2023;12:00;BELARUS;PERSHAYA LIGA - ROUND 17;Maxline;Baranovici;33;15;2,2;26;15;1,7333;3,9333
40;04/08/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 11;Sion Swifts W;Ballymena W;32;10;3,2;7;10;0,7;3,9
41;04/08/2023;20:00;USA;MLS NEXT PRO;Philadelphia Union II;New York City II;39;20;1,95;37;19;1,9474;3,8974
42;04/08/2023;05:00;INDONESIA;LIGA 1 - ROUND 6;Dewa United;Persis Solo;9;5;1,8;10;5;2,0;3,8
43;04/08/2023;20:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 5;Libertad Asuncion;General Caballero JLM;11;4;2,75;4;4;1,0;3,75
44;04/08/2023;16:00;IRELAND;DIVISION 1 - ROUND 25;Finn Harps;Galway;27;24;1,125;63;24;2,625;3,75
45;04/08/2023;12:30;ESTONIA;MEISTRILIIGA WOMEN - ROUND 12;Tammeka Tartu W;Viimsi JK W;27;11;2,4545;15;12;1,25;3,7045
46;04/08/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 15;Savedalen;Qviding;17;14;1,2143;33;14;2,3571;3,5714
47;04/08/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 15;Onsala;Tolo;34;14;2,4286;15;14;1,0714;3,5
48;04/08/2023;20:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 4;Queretaro W;Club Tijuana W;6;3;2,0;3;2;1,5;3,5
49;04/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 25;Waterford;Kerry;63;23;2,7391;18;24;0,75;3,4891
50;04/08/2023;13:00;ESTONIA;MEISTRILIIGA - ROUND 22;Flora;Kuressaare;49;22;2,2273;26;21;1,2381;3,4654
51;04/08/2023;09:30;KYRGYZSTAN;PREMIER LIGA - ROUND 16;Talant;Abdish-Ata;16;15;1,0667;34;15;2,2667;3,3334
52;04/08/2023;20:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 22;Bolivar;Blooming;42;20;2,1;24;20;1,2;3,3
53;04/08/2023;14:30;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 15;Sleipner;Arameisk-Syrianska;33;14;2,3571;13;14;0,9286;3,2857
54;04/08/2023;08:45;SINGAPORE;PREMIER LEAGUE;Hougang;DPMM;31;20;1,55;34;20;1,7;3,25
55;04/08/2023;07:30;SOUTH KOREA;K LEAGUE 1 - ROUND 25;Seoul;Pohang;41;24;1,7083;36;24;1,5;3,2083
56;04/08/2023;12:00;LITHUANIA;I LYGA - ROUND 17;Babrungas;FK Panevezys 2;30;16;1,875;21;16;1,3125;3,1875
57;04/08/2023;12:30;FINLAND;YKKONEN;HIFK;KaPa;25;17;1,4706;29;17;1,7059;3,1765
58;04/08/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 15;Landvetter;Lindome;20;14;1,4286;24;14;1,7143;3,1429
59;04/08/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 11;Lisburn Ladies W;Larne W;19;10;1,9;12;10;1,2;3,1
60;04/08/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 26;Sligo Rovers;St. Patricks;30;25;1,2;47;25;1,88;3,08
61;04/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Shandong Taishan;Meizhou Hakka;31;19;1,6316;27;19;1,4211;3,0527
62;04/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Zhejiang Professional;Wuhan Three Towns;29;19;1,5263;29;19;1,5263;3,0526
63;04/08/2023;16:00;CHILE;PRIMERA B - ROUND 21;Recoleta;Antofagasta;23;20;1,15;38;20;1,9;3,05
64;04/08/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 2;Eilenburg;Babelsberg;1;1;1,0;2;1;2,0;3,0
65;04/08/2023;14:30;GERMANY;REGIONALLIGA NORTH - ROUND 2;Jeddeloh;Lohne;1;1;1,0;2;1;2,0;3,0
66;04/08/2023;14:30;GERMANY;REGIONALLIGA WEST - ROUND 2;FC Gutersloh;Wiedenbruck;2;1;2,0;1;1;1,0;3,0
67;04/08/2023;15:00;HUNGARY;OTP BANK LIGA - ROUND 2;Puskas Academy;Ujpest;1;1;1,0;2;1;2,0;3,0
68;04/08/2023;22:00;HONDURAS;LIGA NACIONAL - APERTURA - ROUND 2;Victoria;Olancho;2;1;2,0;1;1;1,0;3,0
69;04/08/2023;13:30;GERMANY;OBERLIGA NOFV- SUD - ROUND 2;Grimma;Sandersdorf;2;1;2,0;1;1;1,0;3,0
70;04/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 2;Stripfing;Leoben;0;1;0,0;3;1;3,0;3,0
71;04/08/2023;13:00;POLAND;DIVISION 1 - ROUND 3;Pruszkow;Zaglebie Sosnowiec;3;2;1,5;3;2;1,5;3,0
72;04/08/2023;15:30;SLOVAKIA;NIKE LIGA - ROUND 2;Ruzomberok;Skalica;1;1;1,0;2;1;2,0;3,0
73;04/08/2023;22:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 4;Aguilas;Once Caldas;2;2;1,0;6;3;2,0;3,0
74;04/08/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 2;TWL Elektra;Traiskirchen;1;1;1,0;2;1;2,0;3,0
75;04/08/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 5;Akhmat Grozny U19;CSKA Moscow U19;5;4;1,25;7;4;1,75;3,0
76;04/08/2023;13:30;GERMANY;OBERLIGA BAYERN SÜD - ROUND 4;Rain/Lech;Ismaning;5;3;1,6667;4;3;1,3333;3,0
77;04/08/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 2;Marchfeld;Austria Vienna (Am);0;1;0,0;3;1;3,0;3,0
78;04/08/2023;15:30;POLAND;DIVISION 1 - ROUND 3;Wisla Plock;Lechia Gdansk;2;2;1,0;4;2;2,0;3,0
79;04/08/2023;14:00;SLOVENIA;2. SNL - ROUND 2;Triglav;Dravinja;2;1;2,0;1;1;1,0;3,0
80;04/08/2023;10:00;UKRAINE;YOUTH LEAGUE - ROUND 2;Veres Rivne U19;Shakhtar Donetsk U19;0;1;0,0;3;1;3,0;3,0
81;04/08/2023;06:00;MYANMAR;NATIONAL LEAGUE - ROUND 15;Myawady;Ispe FC;18;14;1,2857;24;14;1,7143;3,0
82;04/08/2023;14:00;DENMARK;1ST DIVISION - ROUND 3;Hillerod;Hobro;1;2;0,5;5;2;2,5;3,0
83;04/08/2023;14:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 15;IFK Ostersund;Froso IF;25;14;1,7857;16;14;1,1429;2,9286
84;04/08/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 15;VMA;Karlskrona;16;14;1,1429;25;14;1,7857;2,9286
85;04/08/2023;22:00;CANADA;CANADIAN PREMIER LEAGUE;Cavalry;Forge;26;17;1,5294;25;18;1,3889;2,9183
86;04/08/2023;20:30;USA;USL CHAMPIONSHIP;Charleston;Oakland Roots;33;22;1,5;30;22;1,3636;2,8636
87;04/08/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 15;IFK Hassleholm;Kristianstad;24;14;1,7143;16;14;1,1429;2,8572
88;04/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 25;Bray;Athlone;28;24;1,1667;40;24;1,6667;2,8334
89;04/08/2023;12:00;LITHUANIA;I LYGA - ROUND 17;Nevezis Kedainiai;FK Minija;23;16;1,4375;22;16;1,375;2,8125
90;04/08/2023;20:00;USA;NWSL CHALLENGE CUP WOMEN;Orlando Pride W;Washington Spirit W;4;4;1,0;9;5;1,8;2,8
91;04/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Qingdao Hainiu;Chengdu Rongcheng;22;19;1,1579;31;19;1,6316;2,7895
92;04/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 25;Cobh Ramblers;Wexford;37;24;1,5417;29;24;1,2083;2,75
93;04/08/2023;22:00;USA;USL CHAMPIONSHIP;Colorado Springs;Birmingham;27;22;1,2273;29;20;1,45;2,6773
94;04/08/2023;13:30;GERMANY;OBERLIGA BAYERN NORD - ROUND 4;Wurzburger FV;Donaustauf;6;3;2,0;2;3;0,6667;2,6667
95;04/08/2023;14:30;GERMANY;OBERLIGA BAYERN SÜD - ROUND 4;Erlbach;Garching;3;3;1,0;5;3;1,6667;2,6667
96;04/08/2023;17:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 4;Maritimo;Academia Anzoategui;5;3;1,6667;3;3;1,0;2,6667
97;04/08/2023;15:30;ROMANIA;LIGA 1 - ROUND 4;Univ. Craiova;FC Hermannstadt;3;3;1,0;5;3;1,6667;2,6667
98;04/08/2023;07:30;SOUTH KOREA;K LEAGUE 1 - ROUND 25;Gwangju FC;Daejeon;29;24;1,2083;35;24;1,4583;2,6666
99;04/08/2023;15:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 15;Ragsved;Syrianska;16;14;1,1429;21;14;1,5;2,6429
100;04/08/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 15;Yadanarbon;Rakhine United;19;14;1,3571;18;14;1,2857;2,6428
101;04/08/2023;20:00;VENEZUELA;LIGA FUTVE - ROUND 22;Zamora;Dep. Tachira;19;20;0,95;32;19;1,6842;2,6342
102;04/08/2023;15:30;PARAGUAY;DIVISION INTERMEDIA - ROUND 20;Pastoreo;Independiente FBC;22;19;1,1579;28;19;1,4737;2,6316
103;04/08/2023;09:00;INDONESIA;LIGA 1 - ROUND 6;Borneo;RANS Nusantara;7;5;1,4;6;5;1,2;2,6
104;04/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Beijing Guoan;Henan Songshan Longmen;32;19;1,6842;17;19;0,8947;2,5789
105;04/08/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 15;Metallurg Bekabad;Navbahor Namangan;11;14;0,7857;25;14;1,7857;2,5714
106;04/08/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 26;Bohemians;Drogheda;37;25;1,48;27;25;1,08;2,56
107;04/08/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 21;Dyussh-Polesgu W;Smorgon W;3;18;0,1667;43;18;2,3889;2,5556
108;04/08/2023;20:00;USA;NISA;Michigan Stars;Gold Star;15;12;1,25;14;11;1,2727;2,5227
109;04/08/2023;14:00;RUSSIA;PREMIER LEAGUE - ROUND 3;Krasnodar;Pari NN;5;2;2,5;0;2;0,0;2,5
110;04/08/2023;15:15;SLOVENIA;PRVA LIGA - ROUND 3;Aluminij;Koper;2;2;1,0;3;2;1,5;2,5
111;04/08/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 3;Schaffhausen;Wil;0;2;0,0;5;2;2,5;2,5
112;04/08/2023;13:30;GERMANY;OBERLIGA BAYERN NORD - ROUND 4;Eichstatt;ATSV;6;3;2,0;1;2;0,5;2,5
113;04/08/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 15;Nosaby IF;Hassleholms IF;14;14;1,0;19;13;1,4615;2,4615
114;04/08/2023;06:00;KAZAKHSTAN;FIRST DIVISION - ROUND 18;FC Astana 2;Khan Tengri;13;16;0,8125;26;16;1,625;2,4375
115;04/08/2023;10:00;BELARUS;VYSSHAYA LIGA - ROUND 16;Naftan;Shakhtyor Soligorsk;7;14;0,5;27;14;1,9286;2,4286
116;04/08/2023;14:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 15;Yxhults IK;Grebbestad;14;14;1,0;20;14;1,4286;2,4286
117;04/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Changchun Yatai;Nantong Zhiyun;31;19;1,6316;15;19;0,7895;2,4211
118;04/08/2023;09:00;INDONESIA;LIGA 1 - ROUND 6;PSS Sleman;Persija Jakarta;6;5;1,2;6;5;1,2;2,4
119;04/08/2023;05:00;INDONESIA;LIGA 1 - ROUND 6;Persebaya;Persikabo 1973;6;5;1,2;6;5;1,2;2,4
120;04/08/2023;09:00;LATVIA;1. LIGA - ROUND 14;Valmiera 2;Tukums 2000 2;14;13;1,0769;17;13;1,3077;2,3846
121;04/08/2023;14:30;GERMANY;OBERLIGA BAYERN SÜD - ROUND 4;Kirchheimer;Dachau;2;3;0,6667;5;3;1,6667;2,3334
122;04/08/2023;12:30;ROMANIA;LIGA 1 - ROUND 4;UTA Arad;Poli Iasi;3;3;1,0;4;3;1,3333;2,3333
123;04/08/2023;13:00;FINLAND;KAKKONEN GROUP A;Atlantis 2;Lahden Reipas;12;12;1,0;16;12;1,3333;2,3333
124;04/08/2023;13:00;BULGARIA;PARVA LIGA - ROUND 4;Cherno More;Etar;7;3;2,3333;0;2;0,0;2,3333
125;04/08/2023;20:15;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 4;Huila;Petrolera;4;3;1,3333;2;2;1,0;2,3333
126;04/08/2023;14:00;NORWAY;OBOS-LIGAEN - ROUND 16;Skeid;Fredrikstad;17;15;1,1333;18;15;1,2;2,3333
127;04/08/2023;09:30;KYRGYZSTAN;PREMIER LIGA - ROUND 16;Kara Balta;Alga;5;15;0,3333;29;15;1,9333;2,2666
128;04/08/2023;13:00;RUSSIA;YOUTH LEAGUE - ROUND 5;FK Rostov U19;Rubin Kazan U19;6;4;1,5;3;4;0,75;2,25
129;04/08/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 5;Krasnodar U19;Baltika U19;6;4;1,5;3;4;0,75;2,25
130;04/08/2023;05:00;RUSSIA;YOUTH LEAGUE - ROUND 5;FSM U19;Ural U19;6;4;1,5;3;4;0,75;2,25
131;04/08/2023;07:00;RUSSIA;YOUTH LEAGUE - ROUND 5;Konoplev Academy U19;Krylya Sovetov Samara U19;3;4;0,75;6;4;1,5;2,25
132;04/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 25;Treaty United;Longford;28;23;1,2174;24;24;1,0;2,2174
133;04/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 15;Eskhata;Regar-TadAZ;17;14;1,2143;14;14;1,0;2,2143
134;04/08/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 15;Andijan;Termez Surkhon;15;14;1,0714;16;14;1,1429;2,2143
135;04/08/2023;20:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 20;Rubio Nu;12 de Octubre;28;19;1,4737;14;19;0,7368;2,2105
136;04/08/2023;22:00;USA;USL CHAMPIONSHIP;FC Tulsa;Louisville City;27;22;1,2273;20;21;0,9524;2,1797
137;04/08/2023;15:15;BULGARIA;PARVA LIGA - ROUND 4;Botev Plovdiv;Arda;2;3;0,6667;3;2;1,5;2,1667
138;04/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 15;Ravshan;Khujand;18;14;1,2857;12;14;0,8571;2,1428
139;04/08/2023;10:15;TURKMENISTAN;YOKARY LIGA - ROUND 10;FC Asgabat;Merw;11;8;1,375;6;8;0,75;2,125
140;04/08/2023;10:30;TURKMENISTAN;YOKARY LIGA - ROUND 10;Sagadam;Kopetdag Asgabat;6;8;0,75;11;8;1,375;2,125
141;04/08/2023;09:30;KYRGYZSTAN;PREMIER LIGA - ROUND 16;Ilbirs;Neftchi Kochkor-Ata;13;15;0,8667;18;15;1,2;2,0667
142;04/08/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 22;Universitario de Vinto;Libertad Gran Mamore;21;20;1,05;20;20;1,0;2,05
143;04/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 2;Horn;Liefering;2;1;2,0;0;1;0,0;2,0
144;04/08/2023;14:00;SLOVAKIA;2. LIGA - ROUND 2;Myjava;Trebisov;1;1;1,0;1;1;1,0;2,0
145;04/08/2023;14:00;SLOVENIA;2. SNL - ROUND 2;NK Krka;Jadran Dekani;2;1;2,0;0;1;0,0;2,0
146;04/08/2023;12:00;BULGARIA;VTORA LIGA - ROUND 4;Bdin Vidin;Belasitsa;1;3;0,3333;5;3;1,6667;2,0
147;04/08/2023;15:00;CROATIA;HNL - ROUND 3;Lok. Zagreb;Varazdin;1;2;0,5;3;2;1,5;2,0
148;04/08/2023;15:45;BELGIUM;JUPILER PRO LEAGUE - ROUND 2;St. Liege;Royale Union SG;0;1;0,0;2;1;2,0;2,0
149;04/08/2023;11:00;RUSSIA;YOUTH LEAGUE - ROUND 5;Dynamo Moscow U19;Fakel Voronezh U19;4;4;1,0;4;4;1,0;2,0
150;04/08/2023;14:00;BELARUS;VYSSHAYA LIGA - ROUND 16;Slavia Mozyr;FC Minsk;15;14;1,0714;13;14;0,9286;2,0
151;04/08/2023;15:30;AUSTRIA;2. LIGA - ROUND 2;Ried;Admira;1;1;1,0;1;1;1,0;2,0
152;04/08/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 3;Sion;Bellinzona;3;2;1,5;1;2;0,5;2,0
153;04/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 2;Wallern/St Marienkirchen;Vorwarts Steyr;1;1;1,0;1;1;1,0;2,0
154;04/08/2023;14:00;AUSTRIA;REGIONALLIGA EAST - ROUND 2;Neusiedl;Favoritner;1;1;1,0;1;1;1,0;2,0
155;04/08/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 2;BKMA;Noah;1;1;1,0;1;1;1,0;2,0
156;04/08/2023;14:30;GERMANY;REGIONALLIGA WEST - ROUND 2;Oberhausen;SSVg Velbert;0;1;0,0;2;1;2,0;2,0
157;04/08/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 4;Pachuca W;Atl. San Luis W;4;3;1,3333;2;3;0,6667;2,0
158;04/08/2023;22:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 2;Esteli;Jalapa;2;1;2,0;0;1;0,0;2,0
159;04/08/2023;13:30;GERMANY;2. BUNDESLIGA - ROUND 2;Paderborn;VfL Osnabruck;0;1;0,0;2;1;2,0;2,0
160;04/08/2023;22:00;PANAMA;LPF - CLAUSURA - ROUND 3;UMECIT;Deportivo Universitario;4;2;2,0;0;2;0,0;2,0
161;04/08/2023;12:00;FINLAND;VEIKKAUSLIIGA;Ilves;Haka;14;17;0,8235;19;17;1,1176;1,9411
162;04/08/2023;21:30;BRAZIL;SERIE B - ROUND 22;Mirassol;Sampaio Correa;24;21;1,1429;16;21;0,7619;1,9048
163;04/08/2023;09:00;RUSSIA;YOUTH LEAGUE - ROUND 5;UOR 5-Yegoryevsk U19;Nizhny Novgorod U19;4;4;1,0;3;4;0,75;1,75
164;04/08/2023;15:00;PERU;LIGA 1 - CLAUSURA - ROUND 7;Union Comercio;Cusco;3;6;0,5;6;5;1,2;1,7
165;04/08/2023;20:30;CHILE;PRIMERA B - ROUND 21;CD Santa Cruz;D. Puerto Montt;18;20;0,9;15;20;0,75;1,65
166;04/08/2023;14:30;FAROE ISLANDS;1. DEILD - ROUND 17;Toftir 2;Streymur 2;11;16;0,6875;14;16;0,875;1,5625
167;04/08/2023;15:00;PERU;LIGA 2 - ROUND 18;Carlos Stein;Union Huaral;15;17;0,8824;11;17;0,6471;1,5295
168;04/08/2023;13:00;LITHUANIA;A LYGA - ROUND 25;Suduva;Dainava Alytus;16;23;0,6957;20;24;0,8333;1,529
169;04/08/2023;14:00;DENMARK;SUPERLIGA - ROUND 3;Silkeborg;Vejle;1;2;0,5;2;2;1,0;1,5
170;04/08/2023;14:30;SWITZERLAND;CHALLENGE LEAGUE - ROUND 3;Thun;Baden;2;2;1,0;1;2;0,5;1,5
171;04/08/2023;15:00;BRAZIL;COPA PAULISTA - ROUND 6;Sao Caetano;EC Sao Bernardo;1;5;0,2;5;5;1,0;1,2
172;04/08/2023;13:30;GERMANY;2. BUNDESLIGA - ROUND 2;Hertha Berlin;Wehen;0;1;0,0;1;1;1,0;1,0
173;04/08/2023;14:00;SLOVAKIA;2. LIGA - ROUND 2;Pohronie;D. Kubin;0;1;0,0;1;1;1,0;1,0
174;04/08/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 3;SpVgg Bayreuth;Memmingen;2;2;1,0;0;2;0,0;1,0
175;04/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 2;Kapfenberg;Floridsdorfer AC;0;1;0,0;1;1;1,0;1,0
176;04/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 2;SC Weiz;Wolfsberger AC (Am);0;1;0,0;1;1;1,0;1,0
177;04/08/2023;14:00;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 2;Kitzbuhel;Fugen;1;1;1,0;0;1;0,0;1,0
178;04/08/2023;14:00;POLAND;DIVISION 2 - ROUND 3;Skra;Polonia Bytom;1;2;0,5;1;2;0,5;1,0
179;04/08/2023;14:00;GERMANY;REGIONALLIGA WEST - ROUND 2;Lippstadt;Alemannia Aachen;0;1;0,0;1;1;1,0;1,0
180;04/08/2023;15:30;POLAND;EKSTRAKLASA - ROUND 3;LKS Lodz;Korona Kielce;0;2;0,0;1;1;1,0;1,0
181;04/08/2023;08:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 7;Valencia;Green Streets;0;5;0,0;5;6;0,8333;0,8333
182;04/08/2023;12:30;POLAND;DIVISION 2 - ROUND 3;KKS Kalisz;GKS Jastrzebie;0;2;0,0;1;2;0,5;0,5
183;04/08/2023;14:30;AUSTRIA;REGIONALLIGA WEST - ROUND 2;TSV St. Johann;Saalfelden;0;1;0,0;0;1;0,0;0,0
