Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;avgAway;avgSum
1;08/08/2023;14:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Ringkobing;Kjellerup;26;30;29;30;0,8667;0,9667;1,8334;1,8333;2,2;4,0333
2;08/08/2023;05:30;AUSTRALIA;NPL ACT - ROUND 17;Canberra Croatia;Tigers FC;27;30;26;30;0,9;0,8667;1,7667;1,6667;1,8333;3,5
3;08/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;HJK W;KuPS W;25;30;28;30;0,8333;0,9333;1,7666;1,4333;2,2;3,6333
4;08/08/2023;13:00;CZECH REPUBLIC;MOL CUP - 1/64-FINALS;Lanzhot;Start Brno;26;30;26;30;0,8667;0,8667;1,7334;1,7333;1,8667;3,6
5;08/08/2023;13:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Tarnby FF;Koge;15;17;25;30;0,8824;0,8333;1,7157;1,8235;1,5667;3,3902
6;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Hafnarfjordur;Vikingur Reykjavik;27;30;24;30;0,9;0,8;1,7;2,0667;1,5667;3,6334
7;08/08/2023;12:30;POLAND;III LIGA - GROUP III - ROUND 1;Unia Turza Slaska;Gornik Zabrze 2;27;30;24;30;0,9;0,8;1,7;1,7;1,6;3,3
8;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Fram;Fylkir;26;30;25;30;0,8667;0,8333;1,7;1,7333;1,6667;3,4
9;08/08/2023;14:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 1;FSV Frankfurt;Schott Mainz;25;30;26;30;0,8333;0,8667;1,7;1,4;2,1333;3,5333
10;08/08/2023;10:30;TURKMENISTAN;YOKARY LIGA - ROUND 11;Sagadam;Nebitci;24;29;23;27;0,8276;0,8519;1,6795;1,5172;1,7037;3,2209
11;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;MK Dons;Wycombe;24;30;26;30;0,8;0,8667;1,6667;1,2333;1,1333;2,3666
12;08/08/2023;13:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Kolding BK;Varde;27;30;23;30;0,9;0,7667;1,6667;2,0;1,3;3,3
13;08/08/2023;13:30;GERMANY;OBERLIGA BAYERN SÜD - ROUND 5;Garching;Kirchanschoring;26;30;24;30;0,8667;0,8;1,6667;1,5667;1,5333;3,1
14;08/08/2023;14:00;ICELAND;BESTA DEILD WOMEN - ROUND 13;Tindastoll W;Selfoss W;24;30;26;30;0,8;0,8667;1,6667;1,4667;1,4667;2,9334
15;08/08/2023;15:30;ENGLAND;EFL CUP - 1/64-FINALS;Mansfield;Grimsby;27;30;23;30;0,9;0,7667;1,6667;1,7333;1,1333;2,8666
