Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
46;17/05/2023;21:30;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Athletico-PR;Botafogo RJ;30;43;28;43;0,6977;0,6512;1,3489
47;17/05/2023;21:30;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Atletico-MG;Corinthians;27;43;33;43;0,6279;0,7674;1,3953
48;17/05/2023;20:00;BRAZIL;COPA VERDE - FINAL;Paysandu PA;Goias;27;43;27;43;0,6279;0,6279;1,2558
49;17/05/2023;04:30;CHINA;FA CUP - 1/64-FINALS;Shanghai Zhongchen;Quanzhou Yassin;27;43;27;43;0,6279;0,6279;1,2558
50;17/05/2023;04:30;CHINA;FA CUP - 1/64-FINALS;Wuhan Xiaoma;Guangxi Lanhang;27;43;27;43;0,6279;0,6279;1,2558
51;17/05/2023;08:30;CHINA;FA CUP - 1/64-FINALS;Guangxi Junling;Hubei Istar;27;43;27;43;0,6279;0,6279;1,2558
52;17/05/2023;08:30;CHINA;FA CUP - 1/64-FINALS;Qingdao May Wind;Yunnan Yukun;27;43;27;43;0,6279;0,6279;1,2558
53;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Aguilas;Jaguares de Cordoba;30;43;22;43;0,6977;0,5116;1,2093
54;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Bucaramanga;America De Cali;26;43;28;43;0,6047;0,6512;1,2559
55;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Dep. Cali;Chico;32;43;27;43;0,7442;0,6279;1,3721
56;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Dep. Pasto;Envigado;26;43;25;43;0,6047;0,5814;1,1861
57;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Deportes Tolima;Atl. Nacional;30;43;31;43;0,6977;0,7209;1,4186
58;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Huila;Junior;35;43;21;43;0,814;0,4884;1,3024
59;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Ind. Medellin;U. Magdalena;29;43;26;43;0,6744;0,6047;1,2791
60;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Millonarios;La Equidad;27;43;27;43;0,6279;0,6279;1,2558
61;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Once Caldas;Santa Fe;27;43;27;43;0,6279;0,6279;1,2558
62;17/05/2023;21:00;COLOMBIA;PRIMERA A - APERTURA - ROUND 20;Pereira;Petrolera;33;43;27;43;0,7674;0,6279;1,3953
63;17/05/2023;13:00;CYPRUS;FIRST DIVISION - RELEGATION GROUP - ROUND 38;AEL Limassol;Karmiotissa;33;43;27;43;0,7674;0,6279;1,3953
64;17/05/2023;13:00;CYPRUS;FIRST DIVISION - RELEGATION GROUP - ROUND 38;Nea Salamis;Paralimni;32;43;27;43;0,7442;0,6279;1,3721
65;17/05/2023;14:00;EGYPT;PREMIER LEAGUE - ROUND 28;National Bank Egypt;El Ismaily;34;43;27;43;0,7907;0,6279;1,4186
66;17/05/2023;12:00;EGYPT;EGYPT CUP - 1/16-FINALS;Pyramids;Ghazl Kafr El Dawar;28;43;27;43;0,6512;0,6279;1,2791
67;17/05/2023;18:30;EL SALVADOR;PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS;Luis Angel Firpo;Dragon;21;43;27;43;0,4884;0,6279;1,1163
68;17/05/2023;22:30;EL SALVADOR;PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS;FAS;Alianza FC;29;43;29;43;0,6744;0,6744;1,3488
69;17/05/2023;16:00;ENGLAND;CHAMPIONSHIP - PLAY OFFS - SEMI-FINALS;Middlesbrough;Coventry;33;43;25;43;0,7674;0,5814;1,3488
70;17/05/2023;14:15;ENGLAND;WOMEN’S SUPER LEAGUE;Everton W;Arsenal W;32;43;35;43;0,7442;0,814;1,5582
71;17/05/2023;16:15;ENGLAND;WOMEN’S SUPER LEAGUE;West Ham W;Chelsea W;25;43;33;43;0,5814;0,7674;1,3488
72;17/05/2023;09:00;ETHIOPIA;PREMIER LEAGUE - ROUND 24;St. George;Hawassa;26;43;31;43;0,6047;0,7209;1,3256
73;17/05/2023;12:00;ETHIOPIA;PREMIER LEAGUE - ROUND 24;Sidama Bunna;Defence Force;34;43;23;43;0,7907;0,5349;1,3256
74;17/05/2023;11:30;EUROPE;EURO U17 - ROUND 1;Poland U17;Ireland U17;34;43;23;43;0,7907;0,5349;1,3256
75;17/05/2023;11:30;EUROPE;EURO U17 - ROUND 1;Scotland U17;France U17;34;43;23;43;0,7907;0,5349;1,3256
76;17/05/2023;15:00;EUROPE;EURO U17 - ROUND 1;Hungary U17;Wales U17;28;43;31;43;0,6512;0,7209;1,3721
77;17/05/2023;15:00;EUROPE;EURO U17 - ROUND 1;Portugal U17;Germany U17;35;43;31;43;0,814;0,7209;1,5349
78;17/05/2023;10:00;EUROPE;PREMIER LEAGUE (CRIMEA) - ROUND 9;Kyzyltash;TSK Simferopol;35;43;31;43;0,814;0,7209;1,5349
79;17/05/2023;11:00;EUROPE;PREMIER LEAGUE (CRIMEA) - ROUND 9;Chernomorets Sevastopol;Alushta;3;8;31;43;0,375;0,7209;1,0959
80;17/05/2023;11:00;EUROPE;PREMIER LEAGUE (CRIMEA) - ROUND 9;Ocean Kerch;Rubin Yalta;3;8;31;43;0,375;0,7209;1,0959
81;17/05/2023;12:00;EUROPE;PREMIER LEAGUE (CRIMEA) - ROUND 9;Sparta-KT;FC Sevastopol;3;8;31;43;0,375;0,7209;1,0959
82;17/05/2023;07:00;EUROPE;EURO U17 WOMEN - ROUND 2;Poland U17 W;France U17 W;36;43;38;43;0,8372;0,8837;1,7209
