Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
1;27/08/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 14;Henan Songshan Longmen W;Shaanxi Changan W;8;19;8;15;0,4211;0,674;0,5333;0,8055;0,9544;38,5;16,21;3,41;8,65;20,54;5,47;92,78
2;27/08/2023;19:00;NICARAGUA;LIGA PRIMERA U20 - APERTURA - ROUND 5;Esteli U20;Diriangen U20;88;24;37;21;3,6667;2,075;1,7619;1,3768;5,4286;0,44;1,61;2,95;2,83;0,77;0,68;9,28
3;27/08/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 16;Matchejde De Maputo;ENH Vilankulo;14;22;10;20;0,6364;0,7714;0,5;0,5;1,1364;32,1;20,43;6,5;10,22;16,05;4,01;89,31
4;27/08/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 16;Baia de Pemba;Ferroviario Quelimane;22;21;4;21;1,0476;0,9989;0,1905;0,3927;1,2381;29,0;30,38;15,91;5,78;5,52;0,53;87,12
5;27/08/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 14;Sichuan W;Zhejiang W;12;21;13;19;0,5714;0,6598;0,6842;0,6531;1,2556;28,49;16,28;4,65;11,14;19,49;6,67;86,72
6;27/08/2023;10:00;TURKEY;2. LIG WHITE GROUP - ROUND 1;Adiyaman FK;Diyarbekirspor;16;21;11;22;0,7619;1,1086;0,5;0,5839;1,2619;28,31;21,57;8,22;10,79;14,16;3,54;86,59
7;27/08/2023;15:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 1;Lugo;Teruel;13;21;16;19;0,619;0,6529;0,8421;0,812;1,4611;23,2;14,36;4,45;12,09;19,54;8,22;81,86
8;27/08/2023;18:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 7;Orsomarso;Boca Juniors;14;21;17;21;0,6667;0,6424;0,8095;0,6633;1,4762;22,85;15,24;5,08;12,33;18,5;7,49;81,49
9;27/08/2023;21:45;VENEZUELA;LIGA FUTVE - ROUND 25;Monagas;Universidad Central;21;20;9;21;1,05;0,9206;0,4286;0,5832;1,4786;22,79;23,93;12,57;10,26;9,77;2,09;81,41
10;27/08/2023;14:30;WORLD;CLUB FRIENDLY;Villalonga;Pontevedra;15;20;17;23;0,75;0,9937;0,7391;0,8953;1,4891;22,56;16,92;6,35;12,51;16,68;6,16;81,18
11;27/08/2023;15:00;WORLD;CLUB FRIENDLY;Don Benito;Cacereno;15;23;17;20;0,6522;0,8134;0,85;1,3143;1,5022;22,26;14,52;4,74;12,34;18,92;8,04;80,82
