Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
12;27/08/2023;11:00;LEBANON;PREMIER LEAGUE - ROUND 4;Al Ghazieh;Racing;14;19;17;22;0,7368;1,0178;0,7727;0,7938;1,5095;22,1;16,29;6,0;12,58;17,08;6,6;80,65
13;27/08/2023;09:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 4;Eintracht Frankfurt II;TuS Koblenz;80;23;44;22;3,4783;2,1643;2,0;1,5667;5,4783;0,42;1,45;2,53;2,9;0,84;0,84;8,98
14;27/08/2023;17:00;PERU;LIGA 1 - CLAUSURA - ROUND 11;Dep. Municipal;Sport Boys;21;20;12;22;1,05;0,8047;0,5455;0,7216;1,5955;20,28;21,29;11,18;11,61;11,06;3,02;78,44
15;27/08/2023;11:00;GREECE;GREEK CUP - 1/256-FINALS;Amyntaio;Anagennisi Arta;24;23;13;23;1,0435;1,459;0,5652;0,9244;1,6087;20,01;20,88;10,9;11,8;11,31;3,2;78,1
16;27/08/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 9;Comercial;Sao Bento;17;21;17;21;0,8095;1,0057;0,8095;1,4349;1,619;19,81;16,04;6,49;12,98;16,04;6,49;77,85
17;27/08/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 27;Defensores Belgrano VR;Sportivo Belgrano;13;21;22;22;0,619;0,8438;1,0;0,8528;1,619;19,81;12,26;3,8;12,26;19,81;9,9;77,84
18;27/08/2023;10:00;SOUTH AFRICA;PREMIER LEAGUE - ROUND 4;Royal AM;TS Galaxy;22;22;13;21;1,0;0,9535;0,619;0,7222;1,619;19,81;19,81;9,9;12,26;12,26;3,8;77,84
19;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP C - ROUND 2;Peniche;Marinhense;16;19;15;19;0,8421;0,9326;0,7895;0,8932;1,6316;19,56;16,47;6,93;13,01;15,44;6,1;77,51
20;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP D - ROUND 2;Lusitano GC;FC Barreirense;22;21;13;22;1,0476;0,8438;0,5909;0,7173;1,6385;19,43;20,35;10,66;12,03;11,48;3,39;77,34
21;27/08/2023;06:30;CHINA;YI LEAGUE - RELEGATION GROUP - ROUND 16;Hunan Billows;Zibo Qisheng;20;22;12;16;0,9091;0,9;0,75;0,8292;1,6591;19,03;17,3;7,87;12,98;14,27;5,35;76,8
22;27/08/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 31;Almagro;Guillermo Brown;20;21;15;21;0,9524;0,8438;0,7143;0,6999;1,6667;18,88;17,98;8,57;12,85;13,49;4,82;76,59
23;27/08/2023;11:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;Abu Salim;Olympique Beja;17;21;19;22;0,8095;0,7315;0,8636;1,1792;1,6731;18,77;15,19;6,15;13,12;16,21;7,0;76,44
24;27/08/2023;10:30;DR CONGO;LIGUE 1 - ROUND 1;Lubumbashi Sport;US Panda;19;20;11;15;0,95;0,8646;0,7333;0,7717;1,6833;18,57;17,65;8,38;12,94;13,62;4,99;76,15
25;27/08/2023;12:45;SAUDI ARABIA;DIVISION 1 - ROUND 3;Al Qadisiya;Al Batin;21;20;14;22;1,05;0,8047;0,6364;0,8282;1,6864;18,52;19,44;10,21;12,37;11,78;3,75;76,07
26;27/08/2023;15:00;SERBIA;PRVA LIGA - ROUND 4;Kolubara;Metalac;15;19;18;20;0,7895;0,8932;0,9;0,8888;1,6895;18,46;14,58;5,75;13,12;16,62;7,48;76,01
27;27/08/2023;10:00;RWANDA;PREMIER LEAGUE - ROUND 2;Amagaju;Etincelles;17;23;19;20;0,7391;0,6736;0,95;0,8047;1,6891;18,46;13,65;5,04;12,97;17,54;8,33;75,99
28;27/08/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 27;Juventud Unida Universitario;Huracan Las Heras;24;21;11;20;1,1429;0,8883;0,55;0,7399;1,6929;18,4;21,03;12,02;11,57;10,12;2,78;75,92
29;27/08/2023;09:00;THAILAND;THAI LEAGUE 1 - ROUND 3;Khonkaen Utd.;Ratchaburi;15;19;19;21;0,7895;0,8932;0,9048;1,1914;1,6943;18,37;14,5;5,73;13,12;16,62;7,52;75,86
30;27/08/2023;09:00;POLAND;III LIGA - GROUP I - ROUND 5;Warta Sieradz;LKS Lomza;22;20;12;20;1,1;1,0909;0,6;0,8;1,7;18,27;20,1;11,05;12,06;10,96;3,29;75,73
31;27/08/2023;10:00;UZBEKISTAN;SUPER LEAGUE - ROUND 18;Bunyodkor;Buxoro;19;18;13;20;1,0556;0,7049;0,65;0,8529;1,7056;18,17;19,17;10,12;12,46;11,81;3,84;75,57
32;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP D - ROUND 2;Moncarapachense;Fabril do Barreiro;18;21;17;20;0,8571;0,6389;0,85;0,8529;1,7071;18,14;15,54;6,66;13,21;15,42;6,55;75,52
33;27/08/2023;18:30;USA;NWSL WOMEN;Gotham W;Racing Louisville W;17;21;18;20;0,8095;0,906;0,9;0,995;1,7095;18,1;14,65;5,93;13,18;16,29;7,33;75,48
34;27/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 32;Justo Jose de Urquiza;Yupanqui;18;21;18;21;0,8571;0,833;0,8571;1,0817;1,7142;18,01;15,44;6,62;13,23;15,44;6,62;75,36
35;27/08/2023;12:00;SERBIA;SRPSKA LIGA - WEST - ROUND 2;OFK Mihajlovac;Real Podunavci;14;15;17;21;0,9333;0,7717;0,8095;0,8518;1,7428;17,5;16,34;7,62;13,22;14,17;5,73;74,58
36;27/08/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 8;Huila;Jaguares de Cordoba;29;22;9;21;1,3182;1,3614;0,4286;0,5832;1,7468;17,43;22,98;15,15;9,85;7,47;1,6;74,48
37;27/08/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 20;Manica;Herentals;21;21;15;20;1,0;1,1127;0,75;0,8292;1,75;17,38;17,38;8,69;13,03;13,03;4,89;74,4
38;27/08/2023;05:30;SLOVAKIA;3. LIGA - WEST - ROUND 4;Raca;AFC Nove Mesto;9;16;25;21;0,5625;0,7043;1,1905;1,3669;1,753;17,33;9,75;2,74;11,6;20,63;12,28;74,33
39;27/08/2023;11:30;SERBIA;SRPSKA LIGA - VOJVODINA - ROUND 3;Podunavac Belegis;Becej;15;16;18;22;0,9375;0,8268;0,8182;0,936;1,7557;17,28;16,2;7,59;13,25;14,14;5,78;74,24
40;27/08/2023;11:00;GREECE;GREEK CUP - 1/256-FINALS;Asteras Petriti;Kastoria;26;22;13;22;1,1818;1,0285;0,5909;0,7781;1,7727;16,99;20,08;11,86;11,86;10,04;2,97;73,8
41;27/08/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 24;Atyra;Martin Ledesma;22;21;16;22;1,0476;0,8438;0,7273;0,6863;1,7749;16,95;17,76;9,3;12,91;12,33;4,48;73,73
42;27/08/2023;05:00;HONG KONG;PREMIER LEAGUE - ROUND 2;Hong Kong Rangers;Sham Shui Po;32;23;8;20;1,3913;1,3101;0,4;0,6633;1,7913;16,68;23,2;16,14;9,28;6,67;1,33;73,3
43;27/08/2023;12:00;SERBIA;PRVA LIGA - ROUND 4;Mladost GAT;Vrsac;15;20;20;19;0,75;0,6982;1,0526;1,05;1,8026;16,49;12,37;4,64;13,02;17,36;9,14;73,02
44;27/08/2023;06:15;MALAYSIA;SUPER LEAGUE - ROUND 21;PDRM FC;Penang;16;21;24;23;0,7619;0,7499;1,0435;1,3666;1,8054;16,44;12,52;4,77;13,07;17,15;8,95;72,9
45;27/08/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA WEST - ROUND 4;Dusseldorf U19;Wuppertal U19;21;21;17;21;1,0;1,1547;0,8095;0,8518;1,8095;16,38;16,38;8,19;13,26;13,26;5,36;72,83
46;27/08/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 27;Circulo Deportivo;Santamarina;21;21;17;21;1,0;0,9759;0,8095;0,8518;1,8095;16,38;16,38;8,19;13,26;13,26;5,36;72,83
47;27/08/2023;10:30;DR CONGO;LIGUE 1 - ROUND 1;Blessing;Groupe Bazano;22;23;18;21;0,9565;0,9991;0,8571;0,833;1,8136;16,31;15,6;7,46;13,37;13,97;5,99;72,7
48;27/08/2023;15:30;URUGUAY;SEGUNDA DIVISION - ROUND 14;Bella Vista;Sud America;20;22;19;21;0,9091;0,9491;0,9048;0,9209;1,8139;16,3;14,82;6,74;13,41;14,75;6,67;72,69
49;27/08/2023;16:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 8;Miranda;Nueva Esparta;26;21;13;22;1,2381;1,3058;0,5909;0,5768;1,829;16,05;19,88;12,31;11,75;9,49;2,8;72,28
50;27/08/2023;10:00;BURUNDI;PRIMUS LEAGUE - ROUND 2;Aigle Noir;Dynamik;23;19;13;21;1,2105;0,7663;0,619;0,8438;1,8295;16,05;19,43;11,76;12,03;9,93;3,08;72,28
51;27/08/2023;12:00;BULGARIA;VTORA LIGA - ROUND 7;Strumska Slava;Svoge;19;19;22;26;1,0;1,1239;0,8462;0,8635;1,8462;15,79;15,79;7,89;13,36;13,36;5,65;71,84
52;27/08/2023;16:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 1;Ponferradina;Celta Vigo B;16;21;25;23;0,7619;0,7499;1,087;1,0999;1,8489;15,74;11,99;4,57;13,04;17,11;9,3;71,75
53;27/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 32;Central Cordoba;Puerto Nuevo;26;21;13;21;1,2381;1,0191;0,619;0,7854;1,8571;15,61;19,33;11,97;11,97;9,66;2,99;71,53
54;27/08/2023;10:00;URUGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 2;CA Cerro;Boston River;20;22;21;22;0,9091;0,9491;0,9545;0,7674;1,8636;15,51;14,1;6,41;13,46;14,81;7,07;71,36
55;27/08/2023;13:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;Etoile Filante;Casa;23;23;19;22;1,0;1,1421;0,8636;0,8684;1,8636;15,51;15,51;7,75;13,4;13,4;5,78;71,35
56;27/08/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 16;Ferroviario Lichinga;Ferroviario Maputo;26;22;13;19;1,1818;0,936;0,6842;0,8616;1,866;15,47;18,29;10,81;12,51;10,59;3,62;71,29
57;27/08/2023;19:15;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 2;Independiente;Velez Sarsfield;26;22;13;19;1,1818;0,8332;0,6842;0,7293;1,866;15,47;18,29;10,81;12,51;10,59;3,62;71,29
58;27/08/2023;09:00;KENYA;PREMIER LEAGUE - ROUND 1;Nairobi City;Wazito;23;21;17;22;1,0952;1,2307;0,7727;1,0415;1,8679;15,45;16,92;9,26;13,07;11,93;4,61;71,24
59;27/08/2023;18:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 6;Guanacasteca;Puntarenas FC;27;22;14;21;1,2273;1,1254;0,6667;0,7127;1,894;15,05;18,47;11,33;12,31;10,03;3,34;70,53
60;27/08/2023;12:00;BULGARIA;VTORA LIGA - ROUND 7;Dobrudzha;Yantra Gabrovo;23;17;11;20;1,3529;1,5696;0,55;0,8646;1,9029;14,91;20,17;13,65;11,1;8,2;2,26;70,29
61;27/08/2023;16:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 1;SD Logrones;Barcelona B;22;21;18;21;1,0476;0,9989;0,8571;0,8883;1,9047;14,89;15,6;8,17;13,37;12,76;5,47;70,26
62;27/08/2023;06:00;JAPAN;WE LEAGUE CUP WOMEN - ROUND 1;Albirex Niigata W;Saitama W;20;21;20;21;0,9524;0,7854;0,9524;0,9989;1,9048;14,88;14,17;6,75;13,5;14,17;6,75;70,22
63;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP D - ROUND 2;Real SC;Vitoria Setubal;18;21;20;19;0,8571;0,6389;1,0526;1,05;1,9097;14,81;12,69;5,44;13,36;15,59;8,21;70,1
64;27/08/2023;20:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 8;Club Leon W;Puebla W;29;22;14;23;1,3182;1,0611;0,6087;0,7064;1,9269;14,56;19,2;12,65;11,68;8,86;2,7;69,65
65;27/08/2023;09:00;KENYA;PREMIER LEAGUE - ROUND 1;Posta Rangers;Bidco United;14;20;27;22;0,7;0,6403;1,2273;1,2035;1,9273;14,56;10,19;3,57;12,5;17,86;10,96;69,64
66;27/08/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 27;Def. Pronunciamiento;Union Sunchales;29;21;11;20;1,381;1,1329;0,55;0,669;1,931;14,5;20,02;13,83;11,01;7,97;2,19;69,52
67;27/08/2023;12:00;BOSNIA AND HERZEGOVINA;PRVA LIGA - RS - ROUND 3;Omarska;Leotar;28;22;16;24;1,2727;1,0947;0,6667;0,8498;1,9394;14,38;18,3;11,64;12,2;9,59;3,2;69,31
68;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP D - ROUND 2;Imortal;Juv. Evora;19;20;20;20;0,95;1,0712;1,0;1,1832;1,95;14,23;13,52;6,42;13,52;14,23;7,11;69,03
69;27/08/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA NORTH - ROUND 4;Jena U19;VfL Osnabruck U19;25;23;19;22;1,087;1,1388;0,8636;0,8144;1,9506;14,22;15,46;8,4;13,35;12,28;5,3;69,01
70;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP A - ROUND 2;Ribeirao;SC Vila Real;23;21;18;21;1,0952;1,1086;0,8571;0,833;1,9523;14,2;15,55;8,51;13,32;12,17;5,21;68,96
71;27/08/2023;13:00;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 2;Estudiantes W;Platense W;18;21;23;21;0,8571;0,9897;1,0952;0,9209;1,9523;14,2;12,17;5,21;13,32;15,55;8,51;68,96
72;27/08/2023;10:30;DR CONGO;LIGUE 1 - ROUND 1;Sanga Balende;Don Bosco;24;21;18;22;1,1429;1,0817;0,8182;0,7158;1,9611;14,07;16,08;9,19;13,16;11,51;4,71;68,72
73;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP A - ROUND 2;Brito;Vilar de Perdizes;18;21;18;16;0,8571;0,6389;1,125;1,111;1,9821;13,78;11,81;5,06;13,28;15,5;8,72;68,15
74;27/08/2023;15:30;URUGUAY;SEGUNDA DIVISION - ROUND 14;Cerrito;Atenas;19;21;24;22;0,9048;0,9712;1,0909;1,0833;1,9957;13,59;12,3;5,56;13,41;14,82;8,09;67,77
75;27/08/2023;15:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 1;Real Madrid B;Melilla;27;23;19;23;1,1739;0,9624;0,8261;0,7606;2,0;13,54;15,89;9,33;13,12;11,18;4,62;67,68
76;27/08/2023;11:00;KOSOVO;SUPERLIGA - ROUND 3;Fushe Kosova;KF Llapi;18;19;20;19;0,9474;0,9444;1,0526;1,1909;2,0;13,53;12,82;6,07;13,5;14,25;7,5;67,67
77;27/08/2023;13:00;MOROCCO;BOTOLA PRO - ROUND 1;IR Tanger;Jeunesse Sportive Soualem;19;20;21;20;0,95;0,9206;1,05;1,1169;2,0;13,53;12,86;6,11;13,5;14,21;7,46;67,67
78;27/08/2023;14:00;TURKEY;2. LIG RED GROUP - ROUND 1;24 Erzincanspor;Inegolspor;28;21;14;21;1,3333;0,8909;0,6667;0,7127;2,0;13,53;18,05;12,03;12,03;9,02;3,01;67,67
79;27/08/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 16;Ferroviario Nacala;Ferroviario Beira;24;21;19;22;1,1429;0,7737;0,8636;0,9674;2,0065;13,44;15,37;8,78;13,27;11,61;5,01;67,48
80;27/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 32;Club Lujan;Deportivo Espanol;19;22;24;21;0,8636;1,0572;1,1429;0,9897;2,0065;13,44;11,61;5,01;13,27;15,37;8,78;67,48
81;27/08/2023;12:30;SERBIA;SUPER LIGA - ROUND 5;Novi Pazar;Zeleznicar Pancevo;27;21;13;18;1,2857;1,3145;0,7222;0,8696;2,0079;13,43;17,26;11,1;12,47;9,7;3,5;67,46
82;27/08/2023;08:00;THAILAND;THAI LEAGUE 1 - ROUND 3;Prachuap;Nakhon Pathom;26;19;13;20;1,3684;1,223;0,65;0,6538;2,0184;13,28;18,18;12,44;11,82;8,64;2,81;67,17
83;27/08/2023;10:00;SOUTH AFRICA;MOTSEPE FOUNDATION CHAMPIONSHIP - ROUND 1;Baroka;Magesi;31;21;12;22;1,4762;1,1389;0,5455;0,6556;2,0217;13,24;19,55;14,43;10,66;7,22;1,97;67,07
84;27/08/2023;09:30;MALAWI;SUPER LEAGUE;Dedza Dynamos;Red Lions;25;20;17;22;1,25;0,8874;0,7727;0,7343;2,0227;13,23;16,54;10,34;12,78;10,22;3,95;67,06
85;27/08/2023;19:00;MEXICO;LIGA MX - APERTURA - ROUND 6;Necaxa;Queretaro;20;18;22;24;1,1111;0,9362;0,9167;0,5713;2,0278;13,16;14,62;8,12;13,41;12,07;5,53;66,91
86;27/08/2023;20:00;USA;NISA;Michigan Stars;Flower City Union;29;22;15;21;1,3182;1,0174;0,7143;0,9331;2,0325;13,1;17,27;11,38;12,34;9,36;3,34;66,79
87;27/08/2023;13:15;GREECE;SUPER LEAGUE - ROUND 2;Lamia;Aris;20;21;26;24;0,9524;0,95;1,0833;1,1149;2,0357;13,06;12,44;5,92;13,47;14,15;7,66;66,7
88;27/08/2023;09:00;KYRGYZSTAN;PREMIER LIGA - ROUND 20;Kara Balta;Neftchi Kochkor-Ata;14;22;28;20;0,6364;0,5677;1,4;1,4283;2,0364;13,05;8,31;2,64;11,63;18,27;12,79;66,69
89;27/08/2023;09:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 4;Halberstadt;Arnstadt;23;21;16;17;1,0952;1,0191;0,9412;0,7252;2,0364;13,05;14,29;7,83;13,45;12,28;5,78;66,68
90;27/08/2023;11:00;NORTH MACEDONIA;1. MFL - ROUND 5;Bregalnica Stip;Brera Strumica;24;21;19;21;1,1429;1,0367;0,9048;1,0648;2,0477;12,9;14,75;8,43;13,34;11,67;5,28;66,37
91;27/08/2023;16:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 1;Recreativo Huelva;CF Intercity;26;20;18;24;1,3;1,0536;0,75;0,6614;2,05;12,87;16,74;10,88;12,55;9,65;3,62;66,31
92;27/08/2023;11:00;KOSOVO;SUPERLIGA - ROUND 3;Dukagjini;Liria;25;20;17;21;1,25;1,299;0,8095;0,9571;2,0595;12,75;15,94;9,96;12,9;10,32;4,18;66,05
93;27/08/2023;11:00;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;Cotonsport;Real Bamako;23;19;18;21;1,2105;1,104;0,8571;0,833;2,0676;12,65;15,31;9,27;13,12;10,84;4,65;65,84
94;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP A - ROUND 2;CDC Montalegre;SC Mirandela;26;22;19;21;1,1818;0,8861;0,9048;0,9209;2,0866;12,41;14,67;8,67;13,27;11,23;5,08;65,33
95;27/08/2023;16:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 1;Cordoba;UD Ibiza;24;19;19;23;1,2632;0,9648;0,8261;1,0489;2,0893;12,38;15,64;9,88;12,92;10,23;4,23;65,28
96;27/08/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 20;Valdivia;D. Concepcion;25;22;20;21;1,1364;0,9193;0,9524;1,1329;2,0888;12,38;14,07;7,99;13,4;11,79;5,62;65,25
97;27/08/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 4;Tyniste n. Orl.;Nachod;28;22;18;22;1,2727;1,4517;0,8182;0,936;2,0909;12,36;15,72;10,01;12,87;10,11;4,14;65,21
98;27/08/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 6;Gyor;Tiszakecske;26;22;21;23;1,1818;1,1535;0,913;0,7171;2,0948;12,31;14,55;8,6;13,28;11,24;5,13;65,11
99;27/08/2023;16:00;BRAZIL;SERIE A - ROUND 21;Atletico-MG;Santos;31;21;13;21;1,4762;0,8518;0,619;0,5754;2,0952;12,3;18,16;13,41;11,24;7,62;2,36;65,09
100;27/08/2023;12:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP C - ROUND 2;SC Lusitania;Fontinhas;23;20;19;20;1,15;1,0137;0,95;0,9206;2,1;12,24;14,08;8,1;13,38;11,63;5,52;64,95
101;27/08/2023;16:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 1;Fuenlabrada;Leonesa;21;19;24;24;1,1053;0,7877;1,0;1,1547;2,1053;12,18;13,47;7,44;13,47;12,18;6,09;64,83
102;27/08/2023;11:00;NORTH MACEDONIA;1. MFL - ROUND 5;Sileks;Makedonija GP;21;17;21;24;1,2353;0,8065;0,875;1,1296;2,1103;12,12;14,98;9,25;13,1;10,6;4,64;64,69
103;27/08/2023;12:45;SAUDI ARABIA;DIVISION 1 - ROUND 3;Hajer;Al Safa;26;22;17;18;1,1818;0,7767;0,9444;1,0259;2,1262;11,93;14,1;8,33;13,31;11,27;5,32;64,26
104;27/08/2023;13:00;WORLD;CLUB FRIENDLY;Numancia;Tudelano;25;22;23;23;1,1364;1,2897;1,0;0,978;2,1364;11,81;13,42;7,62;13,42;11,81;5,9;63,98
105;27/08/2023;06:00;JAPAN;J2 LEAGUE - ROUND 32;Blaublitz;Shimizu S-Pulse;15;22;32;22;0,6818;0,8732;1,4545;1,3727;2,1363;11,81;8,05;2,74;11,71;17,17;12,49;63,97
106;27/08/2023;07:00;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 7;Nam Dinh;Hong Linh Ha Tinh;21;20;25;23;1,05;0,8646;1,087;0,8804;2,137;11,8;12,39;6,5;13,47;12,83;6,97;63,96
107;27/08/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 28;Cheonan City;Cheongju;25;21;19;20;1,1905;1,18;0,95;1,0712;2,1405;11,76;14,0;8,33;13,3;11,17;5,31;63,87
108;27/08/2023;11:30;CZECH REPUBLIC;MORAVSKOSLEZSKY KP - ROUND 4;Vresina;Hermanice;26;19;17;22;1,3684;1,223;0,7727;1,2035;2,1411;11,75;16,08;11,0;12,43;9,08;3,51;63,85
109;27/08/2023;17:00;ARGENTINA;TORNEO FEDERAL - ROUND 27;Central Norte;Boca Unidos;31;21;14;21;1,4762;1,1389;0,6667;0,7766;2,1429;11,73;17,32;12,78;11,55;7,82;2,61;63,81
110;27/08/2023;09:00;KENYA;PREMIER LEAGUE - ROUND 1;Leopards;Talanta FC;19;21;26;21;0,9048;0,9209;1,2381;0,9209;2,1429;11,73;10,61;4,8;13,14;14,53;8,99;63,8
111;27/08/2023;16:30;SPAIN;LALIGA - ROUND 3;Ath Bilbao;Betis;17;17;24;21;1,0;1,1376;1,1429;1,1664;2,1429;11,73;11,73;5,86;13,41;13,41;7,66;63,8
112;27/08/2023;15:15;SLOVENIA;PRVA LIGA - ROUND 6;Radomlje;Bravo;34;24;16;22;1,4167;1,3819;0,7273;0,6863;2,144;11,72;16,6;11,76;12,07;8,52;3,1;63,77
113;27/08/2023;13:30;CHILE;PRIMERA B - ROUND 24;La Serena;D. Puerto Montt;23;20;21;21;1,15;1,1079;1,0;1,0235;2,15;11,65;13,4;7,7;13,4;11,65;5,82;63,62
114;27/08/2023;16:30;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 8;Titanes;Academia Rey;30;21;16;22;1,4286;1,0498;0,7273;0,808;2,1559;11,58;16,54;11,81;12,03;8,42;3,06;63,44
115;27/08/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 16;Costa do Sol;Ferroviario Nampula;29;20;15;21;1,45;1,244;0,7143;0,9331;2,1643;11,48;16,65;12,07;11,89;8,2;2,93;63,22
116;27/08/2023;14:30;SERBIA;SUPER LIGA - ROUND 5;Sp. Subotica;Napredak;30;21;14;19;1,4286;0,9035;0,7368;0,8487;2,1654;11,47;16,39;11,7;12,08;8,45;3,11;63,2
117;27/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 20;Qingdao West Coast;Shanghai Jiading Huilong;39;22;8;20;1,7727;1,2768;0,4;0,7348;2,1727;11,39;20,18;17,89;8,07;4,56;0,91;63,0
118;27/08/2023;05:30;WORLD;CLUB FRIENDLY;Pro Vercelli;Chieri;26;23;23;22;1,1304;0,9466;1,0455;0,8779;2,1759;11,35;12,83;7,25;13,41;11,87;6,2;62,91
