Nº;ID;Date;Time;Country;League;Home;Away;jogosHome;jogosAway;GPH;GAH;GPA;GAA;avgHome;avgAway;avgSum;U25;O25
146;OUT7Yecj;13/09/2023;14:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 6;Makkabi Berlin;TB Berlin;21;21;2,4286;1,4286;1,2857;2,7619;2,5952;1,3571;3,9524;24,53;73,73
147;zul67Lt4;13/09/2023;11:30;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Svaty Jur;Slovan Bratislava;24;21;0,875;3,7083;1,7619;1,5714;1,2232;2,7351;3,9583;24,43;73,38
148;8xhDNqFE;13/09/2023;16:00;SCOTLAND;SWPL 1 WOMEN - ROUND 7;Hamilton W;Glasgow City W;23;19;1,087;3,1304;3,4737;0,3158;0,7014;3,3021;4,0034;23,77;71,09
149;IRq1qG5m;13/09/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN - CHAMPIONSHIP GROUP;KuPS W;HPS W;17;24;4,0588;0,7059;1,4583;1,875;2,9669;1,0821;4,049;23,1;73,68
150;MV8Qwxag;13/09/2023;15:00;SWITZERLAND;PROMOTION LEAGUE;Luzern II;Breitenrain;19;25;3,4737;1,1053;1,6;2,0;2,7368;1,3526;4,0895;22,52;75,21
151;zTXbJFDq;13/09/2023;11:30;SLOVAKIA;4. LIGA - EAST - ROUND 7;Mladost Kalsa;Lok. Kosice;22;18;3,0909;2,0;1,7222;1,6111;2,351;1,8611;4,2121;20,86;77,8
152;MyC9dMT5;13/09/2023;12:00;CZECH REPUBLIC;LIBERECKY KP - ROUND 5;Sedmihorky;Velke Hamry B;20;20;2,7;1,1;3,25;1,45;2,075;2,175;4,25;20,37;78,38
153;hrJErqZH;13/09/2023;15:45;PORTUGAL;SUPER CUP WOMEN - FINAL;SL Benfica W;Sporting W;22;23;4,1818;0,9091;2,3478;1,1739;2,6779;1,6285;4,3063;19,66;78,23
154;UudJEM0m;13/09/2023;12:00;CZECH REPUBLIC;PLZENSKY KP - ROUND 7;Rapid Plzen;Nepomuk;21;20;2,8095;1,4762;1,85;2,8;2,8048;1,6631;4,4679;17,73;79,64
155;WvgfLbFg;13/09/2023;12:30;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 1;Chlumec nad Cidlinou B;Police nad Metuji;21;21;3,6667;1,2381;2,0;2,1429;2,9048;1,619;4,5238;17,09;79,89
